,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,11.17,0.71,0.52,0.87,0.65,0.67,0.87,2.41,0.96,0.84,1.17,1.1,0.82,1.01,0.61,1.12
f_1,1.54,13.1,0.65,0.65,0.47,0.54,0.84,0.85,0.9,0.89,0.89,0.43,0.97,0.97,0.59,0.74
d_1,0.63,0.66,16.42,0.47,0.53,0.58,1.16,0.48,1.0,2.48,1.18,1.08,1.15,1.0,1.23,1.13
c_1,0.55,0.54,0.63,13.25,1.74,0.67,0.88,0.82,0.74,0.41,0.59,0.97,0.87,0.96,0.91,1.05
b_1,0.49,0.64,0.68,0.68,14.86,1.71,0.8,0.89,0.85,0.75,0.52,0.89,0.69,0.92,1.18,0.75
a_1,0.61,0.82,0.64,0.73,0.69,23.48,1.01,0.73,0.85,0.94,1.03,1.04,0.55,0.91,1.01,0.81
h_1,0.85,1.34,0.78,0.66,0.68,0.56,3.83,0.85,1.37,0.88,1.05,0.93,1.14,0.79,1.14,1.62
d_0,0.58,0.72,0.44,2.44,0.79,0.7,0.86,2.36,1.04,0.63,1.13,1.12,1.18,1.13,0.98,0.84
g_1,0.56,0.56,1.64,0.76,0.68,0.58,1.14,0.77,4.87,1.23,1.15,2.07,1.24,1.11,1.48,0.87
c_0,0.72,0.91,0.99,0.61,0.42,0.62,1.19,1.09,1.17,2.63,3.56,1.35,1.69,1.23,1.17,1.25
b_0,0.71,0.93,0.8,0.83,0.51,0.47,1.34,1.1,1.33,1.19,2.74,1.23,3.3,1.32,1.3,1.19
f_0,0.49,0.48,1.02,0.88,0.93,0.74,1.22,1.14,1.15,1.07,1.4,2.89,1.27,1.22,3.21,1.54
a_0,0.89,0.8,0.82,0.78,0.71,0.58,1.22,1.06,0.98,0.99,1.0,1.27,3.56,1.26,1.22,0.99
h_0,0.7,1.2,1.01,0.7,0.66,0.56,0.69,0.94,1.66,1.11,1.04,1.12,1.16,0.89,1.13,1.86
e_0,0.45,0.95,1.01,0.83,0.75,1.05,0.94,0.82,1.02,1.14,1.45,1.24,1.22,1.55,3.04,1.31
g_0,0.58,0.63,1.74,0.68,0.85,0.61,1.05,0.76,0.74,1.05,0.98,2.17,0.99,1.16,1.55,0.8
