,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.2,0.86,0.95,0.8,0.65,0.43,0.4,0.37,0.43,0.37,0.33,0.28,0.27,0.31,0.26
e_1,0.85,1.0,0.9,1.12,0.83,0.66,0.52,0.51,0.41,0.57,0.41,0.44,0.36,0.39,0.31,0.31
d_1,1.16,1.11,1.0,0.86,0.77,0.63,0.53,0.38,0.56,0.45,0.47,0.4,0.37,0.34,0.26,0.29
c_1,1.04,0.89,1.15,1.0,1.28,0.79,0.54,0.46,0.38,0.33,0.38,0.42,0.36,0.37,0.31,0.32
b_1,1.24,1.21,1.3,0.8,1.0,1.21,0.56,0.52,0.55,0.46,0.48,0.43,0.45,0.36,0.44,0.38
a_1,1.56,1.49,1.57,1.29,0.82,1.0,0.72,0.62,0.62,0.52,0.69,0.53,0.55,0.46,0.49,0.45
h_1,2.33,2.0,2.05,1.83,1.7,1.33,1.0,1.02,0.75,0.85,0.81,0.78,0.74,0.59,0.75,0.64
g_1,2.46,2.03,2.59,2.16,1.94,1.67,0.94,1.0,0.94,0.84,0.9,1.0,0.69,0.72,0.65,0.82
c_0,2.76,2.59,1.77,2.55,1.81,1.53,1.28,1.09,1.0,1.05,1.31,0.95,0.85,0.85,0.76,0.74
d_0,2.35,1.78,2.13,3.18,2.06,1.82,1.2,1.13,0.94,1.0,0.88,0.99,0.81,0.7,0.71,0.71
b_0,2.73,2.54,1.99,2.8,2.0,1.37,1.26,1.13,0.77,1.16,1.0,1.01,0.9,1.34,0.79,0.81
f_0,2.97,2.32,2.51,2.38,2.31,1.98,1.35,0.99,1.05,1.0,1.01,1.0,0.87,0.79,0.62,1.11
h_0,3.47,2.82,2.7,2.8,2.1,1.85,1.39,1.46,1.17,1.22,1.09,1.13,1.0,0.91,0.99,0.81
a_0,3.48,2.7,2.78,2.77,3.18,2.24,1.65,1.32,1.18,1.41,0.79,1.28,1.1,1.0,0.91,1.08
g_0,3.31,3.05,3.81,3.24,2.29,1.95,1.35,1.55,1.26,1.35,1.27,1.6,1.01,1.12,1.0,0.94
e_0,3.7,3.3,3.26,3.06,2.76,2.36,1.44,1.2,1.24,1.38,1.3,0.92,1.23,0.98,1.14,1.0
