,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.67,1.59,1.28,1.11,1.34,1.24,0.48,0.54,0.53,0.64,0.44,0.64,0.3,0.4,0.4,0.46
e_1,0.89,0.66,1.81,1.32,1.42,1.52,0.68,0.63,0.47,0.67,0.55,0.6,0.48,0.84,0.52,0.45
c_1,1.58,1.12,0.64,1.71,1.68,1.42,0.77,0.33,0.72,0.54,0.44,0.46,0.42,0.49,0.43,0.4
d_1,1.66,1.54,1.55,0.64,1.41,1.21,0.57,0.9,0.58,0.46,0.56,0.47,0.47,0.38,0.46,0.28
b_1,1.72,1.99,0.9,1.62,0.62,1.64,0.69,0.6,0.62,0.73,1.05,0.58,0.53,0.48,0.52,0.47
a_1,2.06,1.72,1.81,2.27,0.95,0.58,0.93,0.82,0.7,0.87,1.04,0.67,0.5,0.69,3.11,0.54
h_1,2.29,2.29,2.04,2.23,2.19,1.61,0.58,0.88,0.7,1.14,0.69,0.76,0.91,0.7,0.85,0.73
d_0,2.38,1.48,2.86,3.26,2.69,1.83,1.09,0.63,0.91,1.11,0.91,0.85,0.66,0.77,0.65,0.76
c_0,2.62,2.47,4.35,1.51,2.5,1.93,1.12,0.99,0.62,1.09,1.02,0.96,0.65,0.8,0.8,0.65
g_1,2.58,2.36,2.7,2.66,2.56,1.8,0.84,0.89,0.88,0.55,0.86,0.86,0.58,0.92,1.01,0.6
b_0,2.71,2.12,3.84,2.26,4.43,1.91,1.14,0.92,0.56,1.12,0.58,0.81,0.7,0.95,0.96,0.66
f_0,3.87,2.67,2.56,2.49,2.48,1.99,1.19,0.93,0.86,0.78,0.96,0.59,0.82,0.96,0.94,0.51
h_0,3.37,2.37,2.84,2.32,2.47,2.67,1.65,1.07,0.98,1.25,0.95,0.95,1.01,0.89,0.8,0.95
e_0,4.45,3.45,2.71,3.19,2.72,2.57,1.25,0.96,1.17,1.1,0.97,0.64,0.98,0.58,0.99,0.85
a_0,3.48,2.65,3.63,2.9,4.03,,1.23,1.29,0.96,1.32,0.58,0.93,0.96,1.0,0.56,0.76
g_0,2.94,3.11,3.62,3.26,3.04,2.93,1.08,1.12,1.05,2.5,1.14,1.19,0.68,0.86,1.02,1.11
