,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.74,0.4,0.75,0.73,0.61,0.22,0.14,0.22,0.15,0.13,0.15,0.1,0.14,0.29,0.13
d_1,0.92,0.16,0.67,0.69,0.61,0.61,0.17,0.32,0.12,0.11,0.12,0.12,0.08,0.12,0.12,0.06
f_1,0.66,0.6,0.16,0.63,0.6,0.6,0.14,0.13,0.24,0.12,0.13,0.29,0.08,0.12,0.12,0.09
c_1,0.49,0.8,0.68,0.15,0.77,0.59,0.19,0.07,0.18,0.3,0.12,0.14,0.08,0.11,0.15,0.11
b_1,0.67,0.68,0.65,0.34,0.13,0.77,0.2,0.16,0.22,0.18,0.31,0.15,0.13,0.14,0.15,0.1
a_1,0.82,0.73,0.75,0.71,0.29,0.09,0.2,0.16,0.2,0.17,0.21,0.14,0.1,0.39,0.15,0.11
h_1,0.48,0.51,0.61,0.5,0.52,0.49,0.06,0.11,0.15,0.11,0.1,0.1,0.12,0.09,0.09,0.07
d_0,0.29,0.88,0.54,0.54,0.63,0.65,0.18,0.06,0.17,0.1,0.1,0.11,0.09,0.11,0.1,0.08
g_1,0.63,0.52,0.52,0.57,0.5,0.48,0.13,0.12,0.05,0.11,0.11,0.09,0.06,0.09,0.1,0.12
c_0,0.53,0.28,0.63,1.23,0.57,0.45,0.18,0.19,0.16,0.06,0.11,0.11,0.09,0.1,0.09,0.06
b_0,0.49,0.41,0.51,0.77,1.24,0.58,0.13,0.1,0.15,0.06,0.05,0.09,0.09,0.1,0.09,0.07
f_0,0.5,0.43,1.05,0.56,0.53,0.52,0.17,0.14,0.08,0.1,0.09,0.05,0.07,0.11,0.11,0.05
h_0,0.48,0.46,0.49,0.58,0.54,0.46,0.25,0.11,0.18,0.09,0.09,0.11,0.11,0.08,0.08,0.07
a_0,0.44,0.53,0.46,0.52,0.89,0.9,0.14,0.11,0.18,0.1,0.05,0.11,0.08,0.04,0.09,0.07
e_0,0.59,0.48,0.76,0.55,0.54,0.47,0.17,0.11,0.13,0.1,0.1,0.05,0.08,0.09,0.04,0.06
g_0,0.53,0.4,0.58,0.56,0.55,0.5,0.13,0.12,0.2,0.11,0.11,0.11,0.05,0.12,0.08,0.12
