,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,6.05,2.59,1.47,1.52,1.23,1.61,5.05,5.19,6.07,6.54,7.13,3.52,7.05,9.77,4.73,9.72
e_1,1.55,6.2,1.15,1.78,1.62,1.42,6.03,4.74,6.77,13.67,8.16,7.39,8.15,10.68,4.05,10.62
d_1,1.76,1.42,6.36,1.27,1.42,1.67,6.32,5.84,12.81,2.98,9.21,9.98,8.56,11.67,7.7,11.54
c_1,1.26,1.56,1.47,6.51,3.03,1.34,4.54,4.02,2.33,6.29,4.61,6.47,7.09,10.36,6.23,10.18
b_1,1.58,1.2,1.78,1.6,7.06,2.49,4.77,4.77,6.57,6.82,3.45,7.44,6.16,12.18,8.71,11.3
a_1,1.74,1.39,1.65,1.6,1.3,10.4,6.02,5.83,8.09,7.51,7.11,7.65,3.46,11.86,8.06,12.85
h_1,2.54,1.69,2.4,1.66,1.7,1.5,17.58,9.13,9.47,8.14,9.25,8.18,7.88,8.47,8.88,18.58
g_1,1.91,1.46,3.02,1.87,1.45,1.69,5.89,20.89,6.5,6.85,8.74,15.93,8.47,12.79,12.34,8.69
c_0,2.17,1.69,2.27,1.22,1.25,1.96,8.71,8.27,17.66,8.2,18.65,10.49,12.8,14.74,10.61,13.63
d_0,1.82,1.88,0.93,3.46,1.95,1.8,8.52,6.69,5.6,16.65,8.7,8.71,8.69,12.76,8.31,13.44
b_0,2.33,1.96,2.34,1.93,0.9,1.37,6.86,7.54,8.87,8.63,19.47,10.62,21.85,15.98,9.08,13.26
f_0,1.37,1.75,2.17,2.07,1.88,1.98,7.14,8.68,9.94,8.23,9.81,21.03,10.65,15.27,19.81,12.95
a_0,2.02,1.51,2.39,1.9,2.0,0.97,8.71,7.67,8.69,8.23,9.46,9.4,23.56,16.22,11.15,13.36
h_0,2.79,1.73,2.34,1.66,1.4,2.07,4.66,10.48,8.11,7.92,10.06,8.71,8.55,8.02,9.73,15.77
e_0,2.15,0.8,2.4,2.25,1.5,2.03,9.22,8.33,8.11,8.83,9.32,10.55,10.15,14.09,28.59,16.2
g_0,1.51,1.44,3.51,1.75,1.7,1.94,7.38,5.19,8.79,6.33,9.72,14.6,10.02,11.34,10.4,9.09
