,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.84,0.94,1.25,1.05,0.85,1.08,1.08,1.31,0.93,1.02,1.07,1.03,1.12,1.0,1.12
f_1,1.19,1.0,0.95,1.01,0.91,0.9,0.91,1.01,1.0,0.94,0.96,0.94,0.89,0.87,0.9,1.1
d_1,1.06,1.03,1.0,0.9,0.9,1.0,0.93,0.92,1.01,1.29,1.15,0.99,0.97,1.02,1.06,0.82
c_1,0.83,1.02,1.1,1.0,1.41,1.02,1.01,0.98,0.73,0.8,0.76,0.99,1.02,0.92,0.94,0.97
b_1,0.96,1.12,1.1,0.72,1.0,1.59,1.02,0.96,0.91,1.12,1.0,0.96,1.05,0.94,0.93,0.99
a_1,1.13,1.09,0.98,0.97,0.67,1.0,1.13,1.11,1.11,1.1,1.21,1.07,1.16,1.13,1.11,1.01
h_1,0.92,1.1,1.07,0.98,0.98,0.88,1.0,1.08,0.87,0.98,0.95,1.03,0.96,0.83,0.92,1.15
g_1,0.94,0.98,1.08,1.01,0.98,0.9,0.92,1.0,0.97,1.01,1.04,1.17,0.87,0.97,1.1,1.06
d_0,0.78,0.97,1.01,1.36,1.09,0.88,1.11,1.05,1.0,0.72,0.86,1.0,1.05,1.01,1.0,1.13
c_0,1.06,1.06,0.81,1.18,0.88,0.85,1.02,1.05,1.38,1.0,1.36,1.1,1.03,1.24,1.0,1.02
b_0,0.99,1.06,0.89,1.33,0.99,0.79,1.05,1.03,1.17,0.72,1.0,0.96,1.12,1.35,0.96,1.11
f_0,0.92,1.04,1.0,1.03,1.03,0.94,0.98,0.85,0.99,0.91,1.01,1.0,1.11,1.03,1.32,0.85
h_0,0.93,1.12,1.02,1.01,0.99,0.85,1.03,1.14,0.97,0.97,0.92,0.89,1.0,1.01,0.9,1.16
a_0,0.9,1.11,0.97,1.13,0.98,0.87,1.15,1.05,0.93,0.83,0.75,0.93,1.0,1.0,1.01,0.97
e_0,0.99,1.09,0.94,1.04,1.03,0.91,1.08,0.95,1.02,0.98,1.02,0.76,1.07,1.01,1.0,0.93
g_0,0.91,0.9,1.22,1.01,0.97,0.9,0.88,0.92,0.9,0.99,0.91,1.14,0.87,0.98,1.12,1.02
