,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.79,1.07,0.94,0.95,0.99,1.11,1.39,1.1,0.97,1.11,1.02,1.11,1.06,1.14,1.16
f_1,1.27,1.0,1.02,0.9,1.04,1.1,0.88,0.94,0.9,1.03,0.67,0.89,0.73,0.84,0.99,0.85
c_1,0.93,0.99,1.0,1.13,1.41,0.9,0.95,0.71,0.89,0.74,0.99,0.93,1.21,1.0,1.22,0.97
d_1,1.07,1.11,0.89,1.0,0.99,0.84,0.95,1.08,0.85,1.29,0.96,1.13,1.06,0.89,0.9,0.99
b_1,1.05,0.96,0.71,1.01,1.0,1.44,1.07,0.9,1.13,0.9,1.24,1.01,1.09,1.09,0.82,0.92
a_1,1.01,0.91,1.12,1.19,0.7,1.0,1.05,0.99,0.92,1.19,1.18,1.37,1.09,0.91,1.15,1.57
h_1,0.85,1.15,1.09,1.06,0.92,0.92,1.0,0.95,1.22,0.87,0.87,0.87,0.85,0.87,1.17,0.91
d_0,0.72,1.09,1.48,0.88,1.1,0.96,1.0,1.0,0.94,0.93,0.92,0.85,0.99,0.96,0.94,0.98
g_1,0.88,1.13,1.15,1.18,0.88,1.06,0.85,1.04,1.0,0.84,1.05,0.91,0.84,1.09,0.8,0.84
c_0,1.04,0.99,1.31,0.82,1.08,0.85,1.12,1.16,1.21,1.0,1.05,1.29,0.99,1.05,1.04,0.86
f_0,0.93,1.47,1.04,1.02,0.82,0.82,1.09,1.04,0.96,0.91,1.0,1.09,1.11,0.99,0.84,1.46
b_0,0.96,1.14,1.09,0.83,1.02,0.74,1.15,1.17,1.15,0.73,0.91,1.0,1.01,1.41,0.93,1.01
h_0,0.88,1.38,0.86,0.9,0.95,0.92,1.19,1.07,1.14,1.02,0.88,0.96,1.0,1.01,1.22,0.85
a_0,0.93,1.17,0.98,1.09,0.96,1.09,1.14,0.96,0.91,0.97,0.95,0.73,0.99,1.0,0.9,0.95
g_0,0.91,1.04,0.89,1.09,1.16,0.82,0.88,1.06,1.35,0.96,1.16,1.04,0.81,1.15,1.0,1.09
e_0,1.05,1.15,1.03,1.03,1.1,0.65,1.06,1.0,1.25,1.21,0.7,0.95,1.18,1.09,0.85,1.01
