,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.04,1.71,1.73,1.41,1.24,1.16,0.54,0.39,0.5,0.51,0.46,0.42,0.32,0.38,0.37,0.25
e_1,1.54,1.04,1.09,1.74,1.58,1.26,0.62,0.64,0.46,0.53,0.44,0.58,0.36,0.4,0.47,0.38
f_1,1.48,1.76,1.04,1.61,1.33,1.11,0.49,0.7,0.45,0.46,0.46,0.45,0.28,0.42,0.36,0.34
c_1,2.06,1.47,1.71,1.05,1.9,1.4,0.65,0.59,0.57,0.35,0.47,0.55,0.37,0.4,0.43,0.39
b_1,2.09,1.77,2.13,1.22,1.06,2.06,0.73,0.7,0.67,0.56,0.75,0.55,0.44,0.51,0.56,0.49
a_1,2.7,2.41,2.97,2.17,1.46,1.06,0.98,0.93,0.78,0.82,0.87,0.64,0.69,0.71,0.67,0.54
h_1,4.13,4.2,5.04,3.87,3.6,3.17,1.24,1.5,1.3,1.24,1.18,1.04,1.09,1.01,1.0,0.98
g_1,5.51,4.59,4.86,4.73,4.65,4.02,1.66,1.25,1.54,1.33,1.47,1.37,0.96,1.29,1.34,1.11
c_0,3.67,5.44,5.09,6.42,4.61,4.49,2.13,1.74,1.32,2.1,1.58,1.41,1.15,1.28,1.27,1.04
d_0,6.02,3.84,5.17,6.3,5.67,4.33,2.28,2.25,1.43,1.37,1.51,1.77,1.37,1.45,1.54,1.41
b_0,4.76,5.8,5.57,7.13,5.48,4.83,2.15,2.07,1.19,1.98,1.34,1.47,1.44,1.72,1.43,1.21
f_0,5.68,4.88,7.3,5.27,5.68,5.01,2.4,1.68,1.69,1.65,1.72,1.35,1.45,1.52,1.9,1.03
h_0,7.31,6.7,7.32,7.22,6.86,4.89,2.98,2.64,2.2,1.98,1.96,1.85,1.81,1.79,1.59,1.71
a_0,6.66,7.08,7.1,8.83,8.02,7.8,2.95,2.43,1.88,2.25,1.41,2.05,1.61,1.46,1.78,1.45
e_0,7.26,7.87,9.89,7.71,6.58,5.26,2.83,2.36,2.26,2.04,2.21,1.34,2.06,2.11,1.45,1.62
g_0,7.83,7.56,9.35,7.82,7.1,6.27,2.57,3.0,2.36,2.29,2.16,2.4,1.52,2.19,1.92,1.78
