,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,2.5,1.47,1.43,1.36,2.37,1.38,2.82,2.83,2.6,1.86,3.36,2.25,4.31,3.3,2.93,3.79
f_1,1.5,2.51,1.49,2.18,1.33,1.21,2.65,2.75,3.29,3.06,2.21,3.25,3.34,2.14,3.41,3.7
d_1,1.32,1.62,2.55,1.45,1.44,1.39,2.99,2.61,2.52,5.08,3.38,4.35,4.1,3.6,3.37,3.76
e_1,1.78,1.3,1.34,2.57,1.54,1.45,2.75,3.04,5.09,2.97,3.57,3.18,4.1,2.91,3.43,4.48
b_1,1.3,1.54,1.49,1.4,2.67,2.64,3.03,2.63,3.02,3.15,3.14,2.59,4.23,3.1,2.94,3.81
a_1,1.71,1.76,1.38,1.38,1.17,3.3,2.87,3.38,3.36,3.48,3.57,3.6,4.22,4.14,3.24,4.25
h_1,1.55,1.93,1.61,1.5,1.36,1.57,4.16,3.42,3.03,3.31,3.42,3.5,3.49,3.12,3.43,5.11
g_1,1.48,1.45,2.18,1.28,1.46,1.3,3.07,4.48,3.08,3.32,4.99,3.27,3.61,3.95,3.28,3.97
d_0,2.43,1.54,1.3,1.31,1.69,1.53,2.89,2.87,4.25,2.27,3.64,3.04,3.91,3.34,3.77,4.29
c_0,1.74,1.71,1.49,1.49,1.22,1.38,3.31,3.32,3.77,4.49,3.62,6.05,4.79,4.01,4.3,4.63
f_0,1.64,1.45,1.79,1.36,1.64,1.58,3.31,2.79,3.1,3.52,4.58,3.98,4.34,6.15,3.9,4.08
b_0,1.74,1.83,1.55,1.53,1.23,1.2,3.18,3.03,3.6,2.89,2.94,4.59,4.79,3.79,6.22,4.41
h_0,1.53,1.94,1.58,1.5,1.45,1.42,2.78,3.92,3.37,3.25,3.54,3.34,3.69,3.47,4.06,5.15
e_0,1.62,2.09,1.64,1.22,1.6,1.59,3.38,3.0,3.06,2.95,3.17,3.14,4.94,5.26,3.67,4.3
a_0,1.57,1.61,1.81,1.49,1.58,1.21,3.2,3.22,3.18,3.01,2.74,2.97,4.03,3.31,5.21,4.27
g_0,1.62,1.41,2.11,1.27,1.55,1.26,2.74,2.42,3.11,3.64,4.54,3.69,4.1,3.81,3.81,3.92
