,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.45,3.75,4.22,4.02,4.52,5.52,0.96,0.85,1.12,0.77,0.7,3.22,0.39,0.85,0.71,0.83
e_1,2.33,0.44,4.86,5.61,5.0,4.19,1.27,0.9,1.24,1.02,0.86,1.27,0.63,1.01,0.67,3.06
d_1,5.16,5.75,0.43,3.92,3.72,4.36,1.11,0.9,0.87,4.4,1.27,0.85,0.65,0.63,0.42,0.81
c_1,5.05,4.15,4.58,0.42,3.8,3.91,1.47,2.68,1.21,0.53,0.92,0.78,0.6,0.91,0.76,0.81
b_1,5.71,5.61,4.27,2.61,0.39,5.64,1.51,1.27,1.41,1.08,5.09,0.98,1.02,1.09,0.69,0.87
a_1,5.35,9.44,8.08,5.74,3.24,0.32,1.4,1.57,2.15,1.77,1.42,1.18,0.96,5.32,1.05,1.15
h_1,5.44,4.57,4.27,4.54,4.97,4.44,0.37,0.92,1.83,0.89,1.29,0.92,2.85,1.06,0.71,1.03
c_0,6.36,4.98,2.81,19.07,6.05,5.14,1.81,0.44,1.84,1.59,1.16,0.98,0.82,1.25,0.81,0.85
g_1,6.31,5.65,6.2,6.97,6.19,4.45,1.22,0.83,0.31,1.07,0.98,0.99,0.59,1.33,1.66,1.31
d_0,7.2,2.9,18.82,6.25,6.04,5.27,1.78,1.03,2.4,0.43,1.25,1.06,0.84,1.05,0.84,0.96
b_0,5.3,5.87,6.62,8.44,22.69,5.36,1.52,0.58,1.78,1.1,0.38,1.09,0.89,1.72,0.98,1.33
f_0,20.66,5.47,6.28,6.28,5.91,6.26,1.81,1.05,1.15,1.2,0.92,0.38,0.89,1.28,0.49,0.94
h_0,6.53,5.84,7.26,6.6,7.77,6.29,5.25,1.35,2.6,1.61,1.47,1.45,2.4,1.16,1.06,1.34
a_0,7.95,6.16,7.86,8.92,7.32,,2.42,1.42,2.29,1.22,0.64,1.1,1.26,0.37,1.21,1.93
g_0,7.34,7.14,7.62,7.0,9.8,7.96,1.46,1.76,6.66,1.24,1.43,1.67,0.95,1.49,2.48,1.58
e_0,12.0,13.94,5.94,8.48,8.89,7.38,2.2,1.35,2.08,1.3,1.54,0.69,1.37,1.47,1.1,0.34
