,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.89,0.23,0.17,0.13,0.12,0.11,0.18,0.12,0.3,0.07,0.19,0.16,0.13,0.18,0.09,0.17
f_1,0.21,0.89,0.31,0.15,0.14,0.07,0.16,0.12,0.16,0.17,0.16,0.06,0.13,0.15,0.06,0.12
e_1,0.18,0.2,0.89,0.23,0.13,0.09,0.15,0.12,0.18,0.33,0.18,0.14,0.12,0.16,0.05,0.13
c_1,0.19,0.2,0.15,0.89,0.26,0.12,0.16,0.15,0.05,0.15,0.09,0.14,0.1,0.15,0.1,0.11
b_1,0.21,0.2,0.15,0.18,0.88,0.22,0.16,0.14,0.15,0.17,0.04,0.11,0.08,0.13,0.09,0.11
a_1,0.17,0.18,0.15,0.22,0.19,0.88,0.2,0.12,0.14,0.16,0.15,0.15,0.02,0.16,0.14,0.16
h_1,0.29,0.34,0.19,0.18,0.14,0.09,0.56,0.21,0.2,0.17,0.22,0.16,0.12,0.12,0.14,0.21
g_1,0.37,0.2,0.18,0.19,0.14,0.12,0.21,0.55,0.16,0.17,0.22,0.26,0.14,0.23,0.16,0.1
c_0,0.31,0.25,0.27,0.14,0.13,0.11,0.21,0.17,0.44,0.19,0.38,0.17,0.18,0.18,0.14,0.19
d_0,0.15,0.24,0.22,0.44,0.18,0.11,0.19,0.17,0.12,0.38,0.16,0.14,0.14,0.2,0.11,0.13
b_0,0.3,0.28,0.19,0.27,0.08,0.08,0.22,0.19,0.2,0.2,0.41,0.17,0.26,0.19,0.13,0.17
f_0,0.31,0.11,0.19,0.22,0.19,0.13,0.25,0.2,0.25,0.19,0.2,0.42,0.15,0.19,0.34,0.21
a_0,0.24,0.25,0.22,0.28,0.16,0.07,0.21,0.18,0.2,0.19,0.21,0.16,0.39,0.24,0.12,0.15
h_0,0.28,0.35,0.21,0.24,0.14,0.12,0.11,0.23,0.2,0.19,0.19,0.17,0.15,0.12,0.1,0.19
e_0,0.27,0.22,0.13,0.26,0.23,0.15,0.2,0.16,0.21,0.2,0.19,0.15,0.13,0.24,0.39,0.15
g_0,0.44,0.23,0.2,0.2,0.16,0.1,0.22,0.11,0.22,0.17,0.19,0.25,0.14,0.21,0.16,0.12
