,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.06,2.09,2.34,2.2,2.25,1.77,0.66,0.89,0.61,0.72,0.62,0.87,0.4,0.61,0.5,0.55
d_1,2.32,1.06,2.5,2.17,2.12,1.94,0.91,0.6,0.69,1.14,0.62,0.64,0.46,0.6,0.59,0.34
e_1,1.53,2.45,1.06,2.56,2.44,2.63,0.88,1.01,0.72,0.88,0.69,0.86,0.58,0.66,1.0,0.57
c_1,2.49,2.93,2.11,1.06,2.77,1.88,0.78,0.88,0.88,0.45,0.64,0.58,0.63,0.52,0.66,0.51
b_1,2.79,2.8,2.7,1.58,1.06,2.61,1.31,0.93,1.05,0.98,1.81,0.83,0.66,0.9,0.83,0.64
a_1,4.43,3.54,3.53,4.4,1.98,1.07,1.53,1.32,1.18,0.96,1.21,1.06,0.93,1.74,0.92,0.83
h_1,7.54,5.65,6.17,6.09,6.27,4.71,1.33,2.73,2.03,1.89,2.0,1.93,2.57,2.0,1.52,1.67
g_1,7.54,7.51,6.31,7.68,7.49,5.34,2.15,1.34,2.06,2.21,1.98,2.1,1.11,1.9,1.66,1.77
c_0,8.5,4.65,7.01,12.85,7.28,5.53,2.74,2.62,1.52,2.7,2.25,2.17,1.6,1.86,1.86,1.55
d_0,6.66,10.31,4.38,9.19,6.77,6.91,2.77,2.69,2.04,1.52,2.51,1.94,1.57,1.95,1.73,1.72
b_0,8.78,6.85,7.73,9.98,11.53,5.66,2.46,2.72,1.53,1.94,1.52,2.09,2.05,2.82,1.73,1.48
f_0,13.21,7.26,7.03,8.58,8.25,6.03,3.05,2.21,2.32,2.54,2.49,1.57,2.06,2.56,2.77,1.14
h_0,10.72,10.53,8.73,9.62,8.72,6.62,4.01,4.35,2.71,2.97,2.41,2.38,2.74,2.46,2.34,2.18
a_0,11.12,8.63,9.71,10.97,9.76,11.64,3.48,3.5,2.81,2.8,1.7,2.54,2.44,1.56,2.31,2.65
e_0,16.09,9.12,12.57,10.71,8.62,8.36,4.05,3.75,3.11,3.33,2.92,1.52,2.46,2.87,1.59,1.93
g_0,11.71,14.52,10.44,11.3,9.37,9.11,2.98,5.12,3.15,3.71,3.32,3.7,2.11,3.09,3.3,3.24
