,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.42,0.79,0.66,0.64,0.62,0.56,0.28,0.37,0.3,0.27,0.29,0.36,0.2,0.26,0.27,0.24
e_1,0.44,0.41,0.72,0.75,0.71,0.71,0.37,0.39,0.39,0.33,0.34,0.4,0.26,0.33,0.31,0.35
d_1,0.69,0.72,0.39,0.73,0.7,0.58,0.34,0.26,0.38,0.3,0.29,0.27,0.24,0.3,0.19,0.31
c_1,0.66,0.57,0.72,0.38,0.78,0.68,0.36,0.35,0.19,0.34,0.26,0.3,0.27,0.31,0.24,0.27
b_1,0.73,0.62,0.68,0.44,0.36,0.77,0.42,0.38,0.33,0.42,0.43,0.31,0.28,0.29,0.29,0.35
a_1,0.8,0.64,0.76,0.62,0.41,0.31,0.44,0.38,0.31,0.39,0.39,0.32,0.3,0.41,0.27,0.31
h_1,0.74,0.61,0.59,0.64,0.61,0.54,0.24,0.37,0.31,0.25,0.27,0.27,0.28,0.24,0.29,0.27
g_1,0.61,0.66,0.64,0.63,0.63,0.57,0.27,0.22,0.33,0.27,0.29,0.3,0.2,0.28,0.29,0.27
d_0,0.66,0.41,0.69,0.81,0.65,0.61,0.34,0.35,0.24,0.26,0.31,0.28,0.29,0.32,0.27,0.33
c_0,0.77,0.64,0.44,0.82,0.62,0.53,0.34,0.35,0.36,0.22,0.35,0.26,0.28,0.31,0.25,0.31
b_0,0.72,0.59,0.53,0.88,0.74,0.54,0.34,0.35,0.28,0.18,0.22,0.26,0.25,0.33,0.22,0.27
f_0,0.73,0.58,0.66,0.62,0.59,0.61,0.37,0.26,0.3,0.28,0.3,0.2,0.23,0.29,0.17,0.34
h_0,0.72,0.67,0.6,0.62,0.53,0.51,0.42,0.39,0.29,0.25,0.28,0.27,0.28,0.26,0.25,0.23
a_0,0.66,0.68,0.57,0.63,0.75,0.72,0.33,0.32,0.31,0.23,0.18,0.27,0.22,0.19,0.24,0.25
g_0,0.68,0.56,0.68,0.68,0.55,0.59,0.27,0.38,0.31,0.25,0.28,0.29,0.19,0.28,0.25,0.28
e_0,0.93,0.68,0.57,0.62,0.6,0.66,0.31,0.35,0.26,0.24,0.25,0.15,0.26,0.25,0.2,0.18
