,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.45,0.9,0.74,0.65,0.68,0.78,1.63,1.02,2.6,1.19,2.06,1.82,1.91,1.84,1.78,1.72
f_1,0.69,2.44,1.2,0.84,0.74,0.7,1.47,1.65,1.81,1.29,1.61,0.67,2.21,1.28,1.11,1.95
e_1,0.72,0.73,2.51,0.76,0.79,0.68,1.4,2.83,1.56,1.62,1.55,1.7,2.32,1.69,0.73,2.12
c_1,0.85,0.64,0.75,2.56,1.24,0.51,1.47,1.49,0.69,1.59,1.32,1.77,2.13,1.85,1.84,2.56
b_1,0.81,0.73,0.74,0.69,2.74,1.38,1.7,1.9,1.35,1.45,0.89,1.81,1.8,1.38,1.95,1.58
a_1,0.77,1.03,0.77,0.85,0.47,3.19,1.25,1.43,1.68,1.47,1.85,2.01,2.12,1.1,1.6,2.35
h_1,1.02,1.31,0.86,1.04,0.95,1.08,3.87,2.05,1.96,2.24,2.02,2.08,1.44,2.08,2.44,2.97
d_0,0.39,0.98,0.78,1.81,0.97,1.3,1.86,3.63,2.09,1.8,2.75,2.12,2.97,2.45,2.14,2.94
c_0,0.94,0.95,1.07,0.83,1.03,1.11,2.27,2.33,3.69,2.03,3.53,2.56,2.9,2.65,2.22,3.4
g_1,1.49,0.95,0.71,0.93,1.11,1.0,1.66,2.0,2.11,4.33,2.17,3.05,2.49,1.48,2.07,2.13
b_0,0.95,1.16,0.88,1.3,0.65,0.82,2.36,2.0,2.14,2.27,4.05,2.49,3.05,3.9,3.0,2.76
f_0,1.29,0.61,0.93,1.12,1.03,0.75,1.95,2.41,2.47,2.1,2.36,4.01,3.15,2.58,4.76,2.35
h_0,1.06,1.23,0.85,0.99,1.0,1.1,1.15,2.12,2.25,2.68,2.44,2.19,1.64,2.57,2.04,3.77
a_0,1.12,1.27,1.07,1.07,0.92,0.61,2.3,1.89,2.06,2.44,2.13,1.99,2.55,4.75,2.18,2.45
e_0,1.12,1.23,0.83,1.06,1.07,0.9,1.71,2.16,2.86,2.32,1.86,2.11,3.35,2.38,4.86,2.82
g_0,1.64,0.95,0.81,0.84,1.1,0.92,1.64,1.8,2.02,1.26,2.13,3.15,2.29,2.3,2.6,2.15
