,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.15,48.81,88.22,101.55,67.3,85.36,24.0,15.0,26.92,16.28,11.46,13.21,9.86,,15.09,13.04
f_1,83.64,1.15,105.29,104.93,93.35,89.43,16.16,15.33,32.3,15.12,15.28,,7.39,12.96,13.83,10.71
d_1,131.03,122.03,1.15,76.78,111.31,78.25,24.0,,15.38,14.77,19.64,20.6,10.89,20.59,16.6,7.69
c_1,93.6,93.87,108.8,1.15,99.79,104.33,21.41,8.85,29.36,,26.19,34.33,17.25,19.44,20.75,10.34
b_1,100.79,85.14,93.26,66.98,1.15,156.5,22.0,20.91,26.92,24.42,,23.41,23.0,25.0,,11.11
a_1,151.19,146.44,192.0,112.43,93.35,1.15,44.0,43.13,,39.69,50.0,24.52,27.6,,,
h_1,126.81,96.34,98.91,80.72,90.44,117.38,2.0,23.0,32.3,17.16,18.97,14.71,,16.67,18.44,17.65
d_0,46.25,93.87,,116.59,72.35,78.25,22.63,2.97,23.93,23.52,19.64,20.6,8.81,18.42,23.71,14.29
g_1,126.81,183.05,141.91,125.92,131.55,,26.4,23.79,2.0,27.61,25.0,17.17,12.18,29.17,25.54,
c_0,119.12,93.87,44.71,,180.88,64.76,29.33,23.79,29.36,2.9,20.37,17.76,11.5,19.44,,12.0
b_0,103.45,98.95,102.0,131.17,,144.46,28.29,24.64,34.0,12.45,2.96,22.39,18.82,23.33,16.6,21.43
f_0,122.84,,93.26,116.59,90.44,134.14,49.5,19.71,20.84,28.86,30.56,3.03,18.0,17.5,,12.0
h_0,91.42,87.17,98.91,98.38,65.77,104.33,,22.26,26.92,17.16,22.0,20.6,,18.42,20.75,12.0
e_0,,183.05,141.91,196.75,180.88,,46.59,53.08,40.38,35.28,32.35,20.6,24.35,2.99,,23.08
a_0,206.89,192.68,192.0,136.87,,,72.0,26.54,34.0,,14.86,,29.57,,3.1,
g_0,140.39,174.33,192.0,116.59,160.78,,30.46,36.32,,24.42,32.35,21.46,14.79,21.88,,
