,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.09,2.11,2.35,2.37,2.39,2.2,0.51,0.74,0.49,0.46,0.42,0.63,0.41,0.25,0.33,0.45
e_1,1.54,1.09,2.45,2.51,2.65,2.41,0.72,0.7,0.57,0.51,0.5,0.55,0.52,0.32,0.35,0.62
d_1,2.78,2.69,1.09,2.68,2.12,2.01,0.66,0.44,0.69,0.54,0.48,0.49,0.46,0.31,0.26,0.46
c_1,2.5,2.2,3.25,1.1,2.74,2.51,0.71,0.75,0.34,0.69,0.54,0.47,0.53,0.41,0.38,0.45
b_1,3.31,3.5,3.35,1.83,1.11,2.66,1.03,1.05,0.64,0.85,0.85,0.61,0.76,0.49,0.47,0.66
a_1,4.86,4.36,3.98,3.67,2.12,1.11,1.34,1.15,0.98,1.01,1.13,0.87,1.35,0.81,0.61,0.87
h_1,10.31,8.34,8.55,10.31,9.46,8.04,1.56,2.89,2.06,1.89,1.96,1.8,1.77,1.85,1.21,1.8
g_1,11.98,11.27,10.37,13.18,12.47,10.16,2.64,1.61,2.54,2.19,1.99,2.27,2.05,1.26,1.92,1.91
d_0,11.13,8.17,15.73,12.82,13.12,12.18,3.15,4.36,1.85,2.26,2.45,2.25,2.63,1.98,1.81,2.47
c_0,13.87,11.91,7.45,18.7,13.92,11.64,3.29,3.18,3.9,1.77,2.51,2.44,2.4,1.86,1.74,2.14
b_0,14.09,12.66,10.34,19.74,19.18,13.18,3.79,3.68,3.45,1.66,1.86,2.58,2.68,2.06,2.11,2.55
f_0,21.73,16.2,13.65,16.58,14.91,14.47,4.3,3.12,3.56,2.77,3.59,1.91,3.2,2.28,1.56,3.26
a_0,18.04,15.24,15.87,19.62,25.17,24.51,5.34,5.23,3.66,3.15,2.08,3.61,1.97,2.75,2.66,3.2
h_0,18.98,18.63,18.25,19.15,18.41,14.47,6.0,5.0,4.13,3.82,3.13,3.41,3.85,3.32,2.39,3.2
g_0,26.72,23.66,22.02,24.75,22.12,21.04,5.24,6.42,5.22,4.97,4.63,4.35,4.32,2.47,3.8,3.88
e_0,31.64,25.87,20.94,25.13,22.86,21.47,5.91,6.13,4.69,4.46,5.44,2.3,5.16,3.45,2.92,2.17
