,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.28,0.91,0.98,1.02,0.94,0.86,0.8,1.06,0.83,0.89,0.89,0.84,0.86,0.82,0.97
e_1,0.79,1.0,0.94,1.19,1.04,1.02,1.13,1.01,1.14,1.45,0.99,1.09,1.18,1.02,1.03,1.08
d_1,1.09,1.07,1.0,0.81,0.96,0.94,1.03,1.3,0.77,1.34,1.07,1.13,1.0,1.02,1.13,0.79
c_1,1.01,0.84,1.23,1.0,1.35,0.72,0.98,0.71,1.01,0.68,0.84,0.99,0.99,0.98,0.88,0.96
b_1,0.99,0.95,1.04,0.74,1.0,1.6,1.02,1.0,1.13,0.96,1.05,0.94,1.06,0.87,1.01,1.1
a_1,1.05,0.99,1.07,1.37,0.63,1.0,1.14,1.2,1.13,1.0,1.36,0.95,1.13,1.39,1.08,1.19
h_1,1.15,0.89,0.99,0.98,0.95,0.9,1.0,0.89,1.18,1.04,1.23,0.95,1.1,0.89,0.89,1.16
c_0,1.18,1.01,0.75,1.34,0.92,0.91,1.11,1.0,0.83,1.03,1.49,1.06,0.99,1.12,1.1,0.95
g_1,0.95,0.86,1.31,1.0,0.95,0.9,0.85,1.19,1.0,0.94,0.82,1.25,0.92,1.19,0.96,1.26
d_0,1.17,0.7,0.79,1.52,0.97,0.99,0.97,0.93,1.08,1.0,0.97,0.88,0.9,0.96,0.86,1.03
b_0,1.1,1.01,0.9,1.24,0.98,0.77,0.76,0.71,1.2,1.04,1.0,0.97,1.01,1.58,1.11,1.2
f_0,1.23,0.91,0.89,1.04,1.07,1.01,1.11,0.93,0.79,1.03,1.07,1.0,1.1,1.07,1.73,0.76
h_0,1.17,0.89,0.94,1.06,0.91,0.94,0.91,1.0,1.14,1.09,0.99,0.87,1.0,1.02,0.96,1.31
a_0,1.21,0.99,1.01,0.95,1.12,0.8,1.11,0.91,0.88,0.98,0.66,0.9,0.96,1.0,1.02,1.1
e_0,1.22,0.98,0.9,1.06,1.0,0.95,1.03,0.89,1.05,1.09,0.94,0.55,1.02,0.89,1.0,1.13
g_0,1.08,0.93,1.22,1.05,0.88,0.87,0.87,1.02,0.81,0.91,0.87,1.35,0.73,0.94,0.87,1.0
