,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.79,0.97,1.09,1.1,0.92,1.22,1.06,1.33,0.81,1.09,0.99,1.04,1.02,0.94,1.19
f_1,1.27,1.0,0.9,0.99,0.88,0.98,0.87,1.02,1.01,1.18,1.0,0.95,0.76,0.95,0.89,0.95
d_1,1.03,1.11,1.0,0.83,1.02,0.96,0.94,0.79,1.21,1.33,1.06,0.96,1.1,0.74,1.04,1.02
c_1,0.92,1.02,1.2,1.0,1.25,0.95,1.1,0.96,0.74,0.97,0.68,0.91,1.09,1.06,0.95,0.86
b_1,0.91,1.14,0.98,0.8,1.0,1.25,0.84,1.09,0.92,1.33,1.18,1.08,1.15,1.03,1.02,1.06
a_1,1.08,1.02,1.04,1.05,0.8,1.0,1.12,1.15,1.03,0.81,1.1,0.98,0.97,1.03,0.88,0.8
h_1,0.83,1.13,1.06,0.94,1.22,0.86,1.0,1.04,1.0,0.83,0.96,1.15,0.92,1.16,1.08,1.07
g_1,0.91,0.97,1.23,1.06,0.95,0.85,0.97,1.0,0.85,0.76,0.9,1.2,0.88,1.12,1.1,1.04
d_0,0.72,1.0,0.83,1.44,1.08,0.97,1.03,1.16,1.0,0.82,0.88,1.23,1.05,1.12,1.0,1.16
c_0,1.2,0.92,0.75,1.08,0.73,1.21,1.22,1.25,1.18,1.0,1.82,1.12,1.02,1.44,0.95,0.83
b_0,0.93,0.97,0.97,1.52,0.86,0.89,1.07,1.13,1.08,0.59,1.0,0.93,1.11,1.05,1.27,1.11
f_0,0.94,1.2,1.05,1.11,0.88,0.92,0.86,0.86,0.88,0.87,1.19,1.0,1.18,1.0,1.17,1.44
h_0,0.94,1.37,0.93,0.93,0.86,1.01,1.09,1.14,0.96,1.03,0.92,0.83,1.0,1.2,0.95,1.0
g_0,0.92,1.03,1.29,0.95,0.96,0.95,0.85,0.87,0.85,0.69,0.93,0.99,0.87,1.0,0.85,0.89
a_0,1.05,1.21,0.94,1.04,0.96,1.22,0.93,0.94,1.01,1.04,0.8,0.9,1.09,1.21,1.0,0.9
e_0,0.82,1.03,0.96,1.15,1.02,1.14,0.97,0.94,0.95,1.14,0.96,0.74,1.02,1.1,1.13,1.0
