,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.49,2.25,1.24,1.41,1.4,1.35,2.71,3.12,3.44,2.98,3.42,2.31,3.05,3.45,2.25,3.57
e_1,1.37,2.5,1.42,1.76,1.51,1.39,2.94,2.96,4.98,2.98,3.29,3.53,3.36,4.12,2.85,4.15
d_1,1.75,1.4,2.63,1.23,1.39,1.24,3.02,4.68,2.22,2.47,3.55,3.43,3.76,4.14,3.77,3.99
c_1,1.42,1.27,1.49,2.65,2.44,1.35,2.63,2.4,2.6,2.62,2.38,3.38,3.12,3.71,3.3,3.22
b_1,1.49,1.38,1.54,1.31,2.73,2.61,2.64,2.98,2.81,2.93,2.65,3.05,2.77,4.5,3.32,4.62
a_1,1.74,1.39,1.67,1.64,1.2,3.17,3.23,3.22,3.29,3.01,3.5,3.24,3.0,4.34,3.77,4.28
h_1,1.94,1.59,1.54,1.56,1.4,1.37,4.23,3.25,3.22,3.37,3.65,3.29,3.7,3.82,3.36,5.09
c_0,1.68,1.6,1.57,1.38,1.31,1.58,3.17,4.26,3.44,3.28,5.29,3.4,4.56,4.51,3.51,4.69
d_0,1.49,1.34,1.37,2.54,1.8,1.39,2.87,2.51,4.24,3.17,2.99,3.42,3.49,3.97,3.26,4.28
g_1,1.41,1.33,2.19,1.66,1.51,1.49,2.97,3.31,2.85,4.6,3.24,4.8,3.37,3.92,3.64,4.04
b_0,1.54,1.62,1.63,1.82,1.22,1.38,3.07,2.98,3.55,3.33,4.33,3.61,5.58,4.35,3.3,4.39
f_0,1.55,1.24,1.61,1.73,1.64,1.58,3.16,3.24,3.3,2.72,3.02,4.69,3.35,4.16,6.51,4.22
a_0,1.82,1.56,1.74,1.53,1.41,1.37,3.15,3.16,3.41,3.01,3.28,3.24,4.9,4.87,3.64,4.76
h_0,1.95,1.5,1.65,1.61,1.41,1.61,2.25,3.3,3.49,3.66,3.49,3.04,3.15,3.53,3.57,5.05
e_0,1.96,1.18,1.41,1.7,1.56,1.65,3.25,3.5,3.43,3.29,3.83,2.85,3.61,4.85,5.24,4.64
g_0,1.5,1.43,2.14,1.67,1.37,1.53,2.9,3.37,2.95,2.59,3.14,4.13,3.4,3.8,3.88,3.61
