,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.5,1.51,2.39,1.78,1.66,1.41,2.87,3.03,3.1,3.75,3.41,2.97,4.02,3.54,2.98,4.31
d_1,1.85,2.51,1.66,1.55,1.54,1.67,3.23,3.12,5.1,3.01,4.24,3.74,4.29,4.2,3.89,3.9
e_1,1.58,1.56,2.56,2.0,1.69,1.54,3.43,3.41,3.47,5.42,3.59,4.0,4.84,3.49,3.56,4.79
c_1,1.68,1.64,1.46,2.62,2.53,1.76,3.1,2.99,2.58,3.09,2.79,3.48,4.57,3.44,3.49,4.5
b_1,1.64,1.79,1.54,1.38,2.75,2.87,3.23,3.18,3.5,3.46,3.14,3.75,4.52,3.26,3.81,5.18
a_1,1.92,1.62,1.73,1.77,1.49,3.32,3.79,3.37,3.76,3.49,3.9,3.9,4.82,3.22,4.01,4.85
h_1,2.05,1.73,1.76,1.82,1.51,1.54,4.58,4.04,3.62,3.33,3.87,3.73,4.41,4.02,3.93,5.87
g_1,1.72,2.17,1.42,1.72,1.69,1.61,3.01,4.78,3.87,3.17,3.58,4.84,3.99,3.72,4.35,4.56
c_0,1.98,1.74,1.69,1.78,1.44,1.41,3.42,3.65,4.58,3.93,5.61,4.0,5.02,4.52,3.76,4.67
d_0,1.65,1.52,1.43,2.63,1.82,1.54,3.46,3.46,2.91,4.51,3.93,4.0,4.55,3.85,3.9,4.79
b_0,1.83,1.77,1.71,2.1,1.38,1.38,3.53,3.54,3.45,3.83,4.85,3.93,4.94,5.98,3.89,4.73
f_0,1.66,1.89,1.42,1.91,1.77,1.68,3.52,3.06,3.98,3.76,4.16,4.88,5.1,4.09,6.6,4.51
h_0,2.17,1.89,1.7,1.6,1.57,1.59,2.75,4.12,3.65,3.36,3.74,3.45,4.29,3.52,3.58,5.6
a_0,1.79,1.71,1.77,1.92,1.74,1.45,3.0,3.52,3.6,3.77,3.34,3.7,4.91,5.35,4.36,4.45
e_0,1.95,1.71,1.6,1.78,1.76,1.76,3.45,3.56,4.03,3.53,4.38,3.34,5.05,4.22,5.44,4.37
g_0,1.66,2.32,1.62,1.64,1.41,1.62,3.01,2.95,3.73,3.06,3.99,5.03,4.5,3.91,4.43,4.57
