,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.91,0.35,0.24,0.36,0.28,0.17,0.29,0.21,0.5,0.26,0.25,0.22,0.3,0.18,0.11,0.22
f_1,0.56,0.91,0.26,0.3,0.27,0.13,0.26,0.19,0.29,0.27,0.26,0.15,0.29,0.15,0.1,0.23
d_1,0.36,0.38,0.91,0.21,0.21,0.17,0.31,0.25,0.17,0.53,0.31,0.27,0.3,0.23,0.19,0.22
c_1,0.3,0.31,0.29,0.9,0.5,0.16,0.29,0.2,0.27,0.13,0.19,0.24,0.25,0.16,0.2,0.2
b_1,0.31,0.32,0.33,0.34,0.89,0.35,0.27,0.25,0.26,0.24,0.16,0.24,0.26,0.14,0.17,0.21
a_1,0.35,0.36,0.32,0.3,0.28,0.88,0.32,0.2,0.29,0.3,0.26,0.27,0.32,0.1,0.18,0.27
h_1,0.34,0.5,0.35,0.3,0.26,0.19,0.62,0.35,0.24,0.28,0.28,0.27,0.22,0.2,0.2,0.32
g_1,0.28,0.37,0.55,0.33,0.22,0.18,0.29,0.62,0.24,0.32,0.3,0.42,0.29,0.19,0.24,0.19
d_0,0.37,0.38,0.21,0.56,0.35,0.17,0.35,0.26,0.49,0.2,0.28,0.24,0.29,0.19,0.18,0.24
c_0,0.38,0.47,0.35,0.26,0.23,0.17,0.37,0.27,0.28,0.49,0.51,0.26,0.34,0.26,0.23,0.25
b_0,0.42,0.43,0.35,0.31,0.19,0.17,0.33,0.28,0.32,0.29,0.48,0.21,0.31,0.43,0.18,0.26
f_0,0.3,0.31,0.45,0.29,0.3,0.2,0.35,0.27,0.3,0.35,0.33,0.49,0.36,0.22,0.41,0.31
h_0,0.38,0.5,0.35,0.32,0.3,0.15,0.23,0.32,0.33,0.3,0.25,0.26,0.22,0.15,0.18,0.33
a_0,0.42,0.46,0.38,0.29,0.24,0.13,0.29,0.27,0.26,0.35,0.27,0.24,0.37,0.48,0.22,0.28
e_0,0.27,0.45,0.33,0.3,0.34,0.21,0.37,0.27,0.3,0.32,0.34,0.26,0.39,0.22,0.42,0.25
g_0,0.36,0.35,0.5,0.32,0.25,0.18,0.33,0.22,0.28,0.29,0.28,0.39,0.3,0.23,0.22,0.21
