,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.68,6.01,6.07,6.19,6.1,5.79,1.82,2.4,2.01,1.95,1.83,,1.22,1.64,2.01,1.93
d_1,4.94,0.67,6.55,6.76,5.54,4.91,2.43,1.84,2.37,,2.21,2.09,2.0,2.28,1.7,1.04
e_1,3.7,6.61,0.66,6.6,5.88,6.04,2.73,2.39,2.26,2.28,1.69,2.41,1.8,1.56,,2.92
c_1,5.33,5.67,5.98,0.64,8.33,5.99,2.32,2.72,,1.41,2.51,2.01,1.83,2.32,1.95,2.38
b_1,7.51,7.05,6.66,3.64,0.62,7.61,3.23,1.88,2.76,2.61,,2.94,1.62,2.68,2.24,1.38
a_1,7.69,7.53,7.66,6.19,3.78,0.57,4.49,3.91,2.21,2.8,3.04,3.25,2.44,,,
h_1,6.03,5.94,5.28,5.86,4.22,4.15,0.61,2.05,2.14,1.69,1.63,1.38,,1.65,1.55,1.41
g_1,5.93,5.81,5.89,5.04,8.78,4.01,1.82,0.59,2.15,2.12,1.79,1.83,1.25,2.6,1.56,
c_0,4.68,2.94,5.15,,4.55,4.62,2.13,2.3,0.7,2.1,1.99,1.54,1.63,2.35,2.17,1.06
d_0,4.92,,3.13,5.18,4.64,4.95,2.25,3.69,1.72,0.68,1.84,1.95,1.36,1.42,1.84,1.58
b_0,6.64,4.52,5.36,4.8,,4.65,2.31,2.25,1.34,1.94,0.68,2.12,1.23,2.53,1.76,1.3
f_0,,5.73,5.54,5.12,3.97,4.24,3.05,1.71,2.2,2.06,1.77,0.68,1.87,1.68,1.98,0.98
h_0,5.22,3.92,4.65,4.68,4.24,3.37,,2.25,1.36,1.46,1.81,1.32,,1.43,1.71,1.28
a_0,7.21,5.79,6.31,6.73,5.06,,2.88,2.34,1.61,2.63,1.25,1.87,1.93,0.63,,1.78
e_0,7.04,6.42,,6.15,6.41,,2.28,3.47,2.34,1.85,2.44,1.21,1.56,,0.6,
g_0,4.86,6.43,4.39,3.69,5.3,,1.83,,2.05,1.9,2.16,1.9,1.17,1.52,,
