,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.16,0.27,0.52,0.44,0.5,0.43,0.14,0.11,0.09,0.14,0.1,0.12,0.08,0.09,0.15,0.08
f_1,0.46,0.16,0.46,0.46,0.4,0.4,0.1,0.1,0.08,0.16,0.1,0.13,0.05,0.09,0.07,0.07
c_1,0.35,0.52,0.15,0.54,0.48,0.42,0.12,0.06,0.12,0.12,0.09,0.08,0.06,0.08,0.09,0.07
d_1,0.55,0.42,0.49,0.15,0.44,0.39,0.12,0.16,0.09,0.07,0.09,0.09,0.06,0.08,0.09,0.04
b_1,0.48,0.55,0.26,0.4,0.13,0.61,0.14,0.1,0.16,0.15,0.16,0.09,0.07,0.09,0.09,0.06
a_1,0.44,0.51,0.48,0.46,0.23,0.1,0.17,0.11,0.09,0.14,0.12,0.1,0.08,0.14,0.1,0.08
h_1,0.38,0.43,0.44,0.38,0.35,0.33,0.06,0.09,0.08,0.13,0.09,0.08,0.07,0.08,0.07,0.06
d_0,0.22,0.44,0.42,0.61,0.45,0.37,0.13,0.06,0.09,0.13,0.09,0.08,0.07,0.07,0.09,0.07
c_0,0.39,0.41,0.66,0.24,0.39,0.43,0.12,0.12,0.06,0.11,0.08,0.09,0.07,0.09,0.08,0.06
g_1,0.37,0.4,0.46,0.39,0.41,0.36,0.09,0.1,0.09,0.05,0.09,0.08,0.05,0.07,0.07,0.07
b_0,0.36,0.41,0.63,0.31,0.55,0.36,0.11,0.09,0.04,0.11,0.05,0.08,0.06,0.08,0.07,0.06
f_0,0.35,0.71,0.39,0.36,0.39,0.34,0.12,0.08,0.1,0.07,0.09,0.05,0.07,0.08,0.08,0.04
h_0,0.41,0.39,0.39,0.38,0.37,0.36,0.13,0.08,0.07,0.12,0.07,0.08,0.07,0.06,0.07,0.06
a_0,0.35,0.36,0.37,0.49,0.55,0.61,0.11,0.09,0.07,0.12,0.04,0.08,0.05,0.04,0.08,0.05
e_0,0.42,0.57,0.41,0.39,0.42,0.31,0.09,0.09,0.08,0.1,0.09,0.04,0.06,0.08,0.04,0.05
g_0,0.38,0.42,0.36,0.41,0.39,0.42,0.08,0.08,0.07,0.14,0.08,0.08,0.04,0.07,0.07,0.06
