,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.14,1.11,0.85,0.91,0.83,1.12,0.81,1.33,0.96,1.07,0.97,0.95,1.1,0.95,0.82
e_1,0.88,1.0,0.76,1.04,1.05,1.05,1.11,1.05,0.96,1.5,0.96,1.15,1.07,1.18,1.11,1.12
f_1,0.9,1.32,1.0,1.1,0.98,0.87,0.79,1.27,0.92,0.87,0.98,1.02,0.87,0.86,0.86,0.83
c_1,1.17,0.96,0.91,1.0,1.45,0.99,1.1,0.86,0.73,0.72,0.92,1.05,0.97,0.71,0.68,1.16
b_1,1.1,0.95,1.02,0.69,1.0,1.71,1.02,0.98,1.04,0.89,1.4,0.96,0.74,0.85,1.22,1.1
a_1,1.21,0.96,1.14,1.02,0.58,1.0,0.94,1.14,0.94,1.15,1.16,1.04,1.57,1.17,1.13,0.98
h_1,0.9,0.9,1.29,0.92,0.96,1.04,1.0,1.31,1.02,1.03,0.96,0.9,0.95,0.83,1.01,1.14
g_1,1.23,0.94,0.79,1.2,1.01,0.87,0.79,1.0,0.92,0.79,1.04,1.05,0.94,1.17,1.14,1.06
c_0,0.76,1.08,1.04,1.52,0.99,1.03,0.98,1.08,1.0,1.16,1.27,1.01,1.12,0.97,1.08,1.07
d_0,0.92,0.66,1.16,1.43,1.07,0.9,0.99,1.29,0.87,1.0,0.96,1.07,1.07,1.02,1.02,1.06
b_0,0.95,1.01,1.04,1.08,0.78,0.87,1.01,0.98,0.73,1.08,1.0,0.95,1.24,1.54,1.01,1.27
f_0,0.98,0.8,0.95,1.01,1.08,1.02,1.09,0.98,1.05,0.94,1.06,1.0,1.3,1.03,1.56,0.79
h_0,1.08,0.88,1.17,1.04,1.28,0.61,0.97,1.08,0.87,0.92,0.83,0.8,1.0,0.96,0.84,1.15
a_0,0.93,0.81,1.24,1.37,1.16,0.81,1.26,0.88,1.02,1.1,0.67,1.04,1.02,1.0,1.0,0.99
e_0,1.04,0.89,1.17,1.37,0.84,0.91,0.99,0.9,0.96,0.96,1.05,0.65,1.23,0.99,1.0,1.11
g_0,1.24,0.85,1.17,0.91,0.91,0.89,0.89,0.95,0.94,0.95,0.78,1.32,0.87,0.96,0.91,1.0
