,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,23.85,0.69,0.33,0.33,0.3,0.3,0.64,0.76,0.68,0.52,0.76,0.2,0.71,0.84,0.82,0.93
e_1,0.32,23.82,0.27,0.46,0.31,0.28,0.8,1.6,0.65,0.86,0.76,0.86,0.75,0.82,0.9,0.19
d_1,0.39,0.3,27.29,0.23,0.36,0.43,0.7,0.19,0.65,1.68,0.86,0.78,1.13,0.59,0.86,0.75
c_1,0.34,0.28,0.3,26.97,0.71,0.4,0.6,0.7,0.8,0.12,0.54,0.94,1.14,0.87,0.83,0.89
b_1,0.3,0.28,0.37,0.4,32.87,0.65,0.69,0.67,0.77,0.64,0.14,0.77,0.76,0.52,0.96,0.85
a_1,0.34,0.33,0.39,0.36,0.27,48.6,0.86,0.82,0.79,0.82,0.93,0.7,0.97,0.15,0.66,0.76
h_1,0.99,0.46,0.66,0.71,0.5,0.53,9.17,1.49,1.6,1.37,1.41,1.05,0.64,1.35,2.02,1.61
d_0,0.73,0.84,0.16,1.45,0.46,0.52,1.54,5.5,0.96,1.4,1.2,1.67,1.61,1.42,1.84,1.47
g_1,0.71,0.43,1.25,0.46,0.5,0.64,1.3,1.09,12.38,1.27,1.79,2.74,1.4,1.27,0.48,1.24
c_0,0.73,0.73,0.87,0.25,0.47,0.61,1.43,1.33,1.09,5.94,4.14,1.98,1.5,2.45,1.6,1.57
b_0,0.64,0.76,0.59,0.65,0.22,0.49,1.79,1.94,1.48,2.18,6.35,2.01,1.64,4.17,1.71,1.67
f_0,0.25,0.57,0.87,0.62,0.82,0.55,1.84,1.81,1.31,1.92,2.02,6.27,1.75,1.9,1.57,3.01
h_0,0.98,0.58,0.66,0.7,0.72,0.49,0.35,0.99,1.72,1.21,1.78,1.61,0.44,1.37,2.29,1.13
a_0,0.66,0.66,0.69,0.72,0.66,0.29,1.22,1.84,1.65,1.77,1.83,2.03,1.9,8.54,1.77,1.72
g_0,0.41,0.52,1.09,0.84,0.6,0.78,0.98,1.19,0.55,1.46,1.82,2.29,1.75,1.39,0.68,1.37
e_0,0.79,0.16,0.82,0.56,0.78,0.67,1.99,1.35,1.45,1.39,2.47,1.8,1.63,1.58,1.17,10.64
