,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.07,1.74,3.75,4.48,3.27,3.14,1.64,1.2,1.25,0.85,1.17,1.2,0.82,1.75,0.76,0.89
f_1,4.29,1.07,2.89,3.39,3.16,2.55,1.02,1.22,1.33,1.04,2.31,0.69,0.62,0.77,0.96,0.82
d_1,4.03,3.93,1.07,3.39,3.29,2.77,1.34,2.17,0.99,1.18,0.96,1.1,0.78,1.02,0.92,0.52
c_1,2.88,4.77,3.89,1.07,4.03,3.12,1.18,0.67,1.13,1.67,1.07,0.99,0.89,0.83,0.83,0.85
b_1,4.16,5.16,3.86,2.22,1.07,4.83,1.51,1.23,1.47,1.41,1.03,2.67,0.97,1.0,0.93,0.86
a_1,5.08,5.83,5.61,5.07,2.91,1.07,2.04,1.84,1.98,1.62,1.21,2.2,1.33,1.47,2.9,1.22
h_1,6.15,8.77,7.33,7.25,7.26,7.14,1.37,2.2,3.17,2.12,2.19,1.96,2.22,1.75,1.56,1.75
d_0,4.75,9.74,13.42,9.64,7.9,6.48,3.15,1.65,3.87,2.36,2.45,2.24,1.55,2.25,2.33,1.95
g_1,9.33,8.52,8.1,9.3,9.54,6.4,2.4,2.17,1.37,2.64,2.62,2.12,1.51,1.85,1.74,2.28
c_0,9.61,7.95,5.39,22.32,8.32,9.37,3.69,3.35,3.49,1.57,2.92,2.75,1.82,2.27,2.0,1.91
f_0,8.75,18.18,9.08,9.77,8.46,8.64,3.89,2.79,2.53,2.61,1.61,2.93,1.92,3.16,2.66,1.58
b_0,7.77,13.64,9.6,13.97,12.27,7.66,3.7,2.63,4.05,1.99,2.5,1.6,2.33,3.02,2.92,2.27
h_0,12.52,12.68,12.34,10.97,10.69,8.45,7.08,4.14,4.94,3.59,3.53,3.59,4.77,2.3,3.24,2.64
e_0,14.76,21.55,12.72,14.14,11.64,9.73,5.05,4.09,4.91,4.51,2.1,3.14,3.54,1.66,4.47,2.91
a_0,14.96,11.5,15.17,16.73,14.98,17.19,4.95,3.51,4.61,4.09,2.9,2.18,3.21,2.46,1.73,2.32
g_0,13.87,15.01,15.19,11.75,11.62,11.28,3.87,4.2,8.43,3.58,4.45,3.53,2.8,2.89,3.59,4.26
