,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.73,0.85,0.76,1.0,0.85,0.75,0.9,0.96,0.89,1.52,0.94,1.06,1.04,0.98,0.72,1.04
f_1,1.26,1.78,0.76,0.81,0.72,0.69,0.86,0.86,0.83,0.92,0.96,0.68,0.87,0.83,0.68,0.82
d_1,0.72,0.88,2.03,0.62,0.65,0.87,1.09,1.02,1.67,0.62,1.18,0.98,1.09,1.24,1.08,1.26
c_1,0.7,0.8,0.76,2.06,1.44,0.75,0.87,0.91,0.59,0.98,0.72,0.89,0.9,0.8,1.04,0.82
b_1,0.82,0.84,0.74,0.8,2.13,1.4,0.86,0.91,0.84,0.92,0.69,0.93,0.95,0.76,1.01,0.84
a_1,0.86,0.77,0.89,0.86,0.72,2.8,1.14,0.94,1.06,0.99,1.08,1.04,1.14,0.82,1.14,0.96
h_1,0.9,1.09,1.03,0.84,0.74,0.74,1.83,1.22,1.03,0.9,1.01,1.17,0.8,0.99,1.0,1.29
g_1,0.75,0.76,1.22,0.8,0.75,0.87,1.0,1.96,1.12,0.88,1.09,1.66,1.0,1.04,1.27,0.87
c_0,0.85,0.97,1.0,0.72,0.67,0.68,1.16,1.03,1.55,0.94,1.85,1.15,1.13,1.49,1.2,1.25
d_0,0.82,0.92,0.66,1.51,0.98,0.71,1.01,0.91,0.67,1.37,0.86,1.02,0.98,0.85,0.97,0.92
b_0,0.91,0.93,1.09,0.85,0.69,0.56,1.18,1.1,1.06,0.87,1.74,1.1,1.24,2.09,0.98,1.23
f_0,0.71,0.87,0.97,0.95,0.82,0.82,1.16,1.07,1.06,1.06,1.23,1.76,1.13,1.13,2.08,1.15
h_0,0.92,1.15,0.95,0.8,0.73,0.64,0.85,1.32,0.95,1.01,1.07,1.05,0.92,1.32,1.07,1.28
a_0,0.82,0.95,0.96,0.89,0.75,0.63,1.16,1.17,1.17,1.06,1.12,1.15,1.16,1.94,1.24,1.17
e_0,0.71,0.99,1.05,0.94,0.87,0.81,1.29,1.09,1.03,0.88,1.14,0.94,1.07,0.9,2.02,1.11
g_0,0.74,0.79,1.37,0.86,0.79,0.85,1.03,1.04,1.09,0.83,1.23,1.48,0.98,1.21,1.13,0.96
