,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.21,0.03,0.02,0.03,0.03,0.02,0.05,0.04,0.12,0.06,0.06,0.05,0.07,0.05,,0.08
f_1,0.06,2.21,0.03,0.03,0.02,0.02,0.06,0.04,0.06,0.04,,0.06,0.08,0.04,0.03,0.06
d_1,0.03,0.02,2.39,0.03,0.03,0.02,0.06,0.04,,0.15,0.05,0.05,0.08,0.05,0.04,0.05
c_1,0.03,0.04,0.02,2.41,0.05,0.02,0.06,0.04,0.08,,0.06,0.05,0.09,,0.05,0.06
b_1,0.03,0.03,0.03,0.03,2.52,0.04,0.05,0.06,0.05,0.07,0.07,,0.08,0.04,0.04,0.07
a_1,0.03,0.04,0.02,0.02,0.02,3.03,0.04,0.04,0.05,0.08,,0.06,0.11,,0.05,0.09
h_1,0.11,0.15,0.12,0.08,0.13,0.07,2.59,0.28,0.23,0.19,0.18,0.23,,0.2,0.14,0.31
g_1,0.08,0.12,0.19,0.09,0.06,0.08,0.23,2.91,0.18,0.2,0.39,0.22,0.25,0.17,0.14,
d_0,0.14,0.12,,0.24,0.18,0.09,0.27,0.22,2.09,0.2,0.23,0.36,0.41,0.25,0.32,0.24
c_0,0.13,0.18,0.1,,0.07,0.16,0.35,0.29,0.3,2.13,0.31,0.56,0.29,0.24,0.21,0.31
f_0,0.11,,0.17,0.14,0.11,,0.27,0.25,0.31,0.32,2.22,0.26,0.65,0.19,0.5,0.26
b_0,0.14,0.2,0.13,0.13,,0.07,0.35,0.23,0.37,0.23,0.19,2.13,0.38,0.48,0.18,0.46
h_0,0.23,0.27,0.2,0.19,0.25,0.14,,0.48,0.51,0.4,0.4,0.49,,0.35,0.44,0.58
a_0,0.17,0.13,0.15,,0.12,,0.3,0.2,0.26,0.27,0.42,0.26,0.55,2.65,,0.38
e_0,,0.15,0.15,0.17,0.15,0.14,0.31,0.31,0.35,0.31,0.23,0.23,0.34,,2.61,0.48
g_0,0.18,0.16,0.33,0.25,0.18,0.11,0.34,,0.37,0.51,0.77,0.52,0.46,0.26,0.46,
