,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.18,0.43,0.79,0.86,0.87,0.88,0.28,0.25,0.21,0.15,0.17,0.21,0.12,0.17,0.16,0.4
f_1,0.7,0.17,0.67,0.91,0.67,0.83,0.14,0.25,0.17,0.14,0.14,0.42,0.08,0.15,0.1,0.15
d_1,0.82,0.85,0.15,0.83,0.71,0.65,0.23,0.14,0.46,0.16,0.14,0.16,0.1,0.15,0.07,0.15
c_1,0.65,0.88,0.89,0.15,0.9,0.73,0.22,0.21,0.08,0.31,0.14,0.13,0.11,0.13,0.12,0.15
b_1,0.82,0.89,0.94,0.38,0.13,0.8,0.25,0.26,0.15,0.22,0.55,0.17,0.12,0.19,0.14,0.15
a_1,0.9,0.79,0.69,1.0,0.41,0.09,0.32,0.25,0.19,0.19,0.26,0.16,0.13,0.4,0.13,0.15
h_1,0.59,0.69,0.6,0.6,0.66,0.6,0.06,0.16,0.12,0.13,0.11,0.13,0.19,0.13,0.1,0.1
g_1,0.66,0.64,0.6,0.6,0.69,0.65,0.13,0.05,0.17,0.13,0.12,0.11,0.07,0.13,0.13,0.11
d_0,0.34,0.73,1.12,0.62,0.78,0.63,0.17,0.22,0.07,0.12,0.14,0.12,0.12,0.12,0.13,0.1
c_0,0.59,0.67,0.35,1.26,0.59,0.5,0.2,0.27,0.16,0.06,0.16,0.12,0.11,0.12,0.1,0.13
b_0,0.58,0.56,0.54,1.17,1.53,0.61,0.15,0.17,0.12,0.06,0.05,0.11,0.09,0.12,0.07,0.1
f_0,0.57,1.49,0.55,0.54,0.58,0.49,0.21,0.11,0.16,0.15,0.12,0.05,0.08,0.14,0.06,0.1
h_0,0.68,0.58,0.53,0.6,0.56,0.52,0.28,0.17,0.11,0.11,0.13,0.1,0.17,0.11,0.09,0.1
a_0,0.6,0.66,0.55,0.66,0.73,1.4,0.16,0.17,0.12,0.13,0.06,0.12,0.1,0.04,0.08,0.1
g_0,0.56,0.72,0.58,0.68,0.7,0.54,0.13,0.23,0.13,0.11,0.1,0.1,0.05,0.12,0.1,0.08
e_0,0.9,0.83,0.64,0.52,0.61,0.6,0.21,0.16,0.13,0.1,0.13,0.06,0.1,0.15,0.06,0.04
