,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.92,0.42,0.39,0.3,0.33,0.24,0.37,0.33,0.64,0.46,0.27,0.31,0.4,0.27,0.25,0.32
f_1,0.39,0.92,0.66,0.35,0.3,0.25,0.37,0.27,0.3,0.32,0.36,0.2,0.32,0.23,0.16,0.25
e_1,0.33,0.43,0.91,0.48,0.34,0.24,0.35,0.3,0.34,0.32,0.59,0.29,0.38,0.23,0.18,0.27
c_1,0.41,0.39,0.35,0.91,0.6,0.27,0.36,0.29,0.26,0.25,0.31,0.32,0.33,0.24,0.22,0.28
b_1,0.43,0.41,0.39,0.37,0.9,0.47,0.34,0.27,0.34,0.26,0.25,0.29,0.37,0.21,0.24,0.31
a_1,0.42,0.45,0.41,0.39,0.29,0.9,0.39,0.33,0.38,0.41,0.35,0.28,0.41,0.23,0.25,0.3
h_1,0.49,0.56,0.41,0.38,0.33,0.27,0.65,0.4,0.35,0.36,0.28,0.31,0.31,0.27,0.23,0.41
g_1,0.63,0.41,0.35,0.36,0.33,0.24,0.36,0.65,0.46,0.38,0.29,0.5,0.44,0.25,0.3,0.26
c_0,0.47,0.45,0.42,0.37,0.27,0.26,0.4,0.36,0.58,0.67,0.4,0.37,0.48,0.37,0.28,0.37
b_0,0.45,0.48,0.44,0.43,0.29,0.22,0.45,0.36,0.38,0.57,0.4,0.37,0.43,0.47,0.29,0.32
d_0,0.28,0.42,0.4,0.7,0.43,0.23,0.41,0.33,0.29,0.33,0.54,0.36,0.36,0.26,0.27,0.3
f_0,0.5,0.39,0.31,0.45,0.38,0.29,0.4,0.38,0.42,0.46,0.36,0.55,0.47,0.26,0.52,0.37
h_0,0.52,0.49,0.39,0.42,0.35,0.24,0.33,0.46,0.4,0.4,0.35,0.37,0.33,0.26,0.32,0.41
a_0,0.51,0.44,0.42,0.44,0.38,0.2,0.42,0.34,0.39,0.4,0.37,0.38,0.48,0.5,0.24,0.39
e_0,0.54,0.46,0.31,0.48,0.38,0.24,0.42,0.38,0.41,0.46,0.31,0.32,0.49,0.33,0.51,0.42
g_0,0.63,0.38,0.38,0.42,0.36,0.25,0.43,0.28,0.39,0.38,0.29,0.47,0.38,0.24,0.27,0.26
