,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.45,4.06,3.94,4.27,4.59,3.58,0.9,1.13,0.77,0.84,0.93,3.2,0.56,0.96,0.63,1.18
d_1,4.97,0.43,4.41,4.6,3.9,4.05,1.31,0.82,0.86,6.58,0.72,0.85,0.55,0.92,0.44,0.74
e_1,2.59,5.21,0.43,4.53,5.34,3.56,1.26,1.59,1.0,1.0,0.93,1.01,0.58,0.82,0.81,2.39
c_1,4.26,5.65,4.47,0.41,3.73,6.38,1.25,1.43,4.23,0.48,0.89,0.92,0.62,0.99,0.62,0.98
b_1,4.72,4.87,5.89,2.59,0.39,5.41,1.37,1.38,1.24,1.1,5.33,0.9,0.88,1.05,0.76,1.01
a_1,6.53,5.72,6.15,5.49,3.19,0.35,1.69,1.73,1.12,1.13,1.89,1.39,0.73,4.46,0.84,0.84
h_1,5.18,4.3,5.09,5.84,4.8,4.71,0.36,1.52,1.03,1.1,0.89,0.88,1.9,0.99,0.72,0.92
g_1,7.34,4.99,5.08,6.87,5.93,5.22,1.31,0.33,1.0,0.94,0.92,0.91,0.66,1.08,1.46,0.98
c_0,5.43,2.88,5.38,16.78,8.59,6.87,1.57,1.64,0.43,1.42,1.12,1.15,0.77,1.3,0.74,1.1
d_0,5.37,18.44,3.05,5.69,6.76,6.74,2.11,2.26,1.16,0.44,1.12,1.16,1.04,1.28,0.85,1.65
b_0,6.7,4.84,6.5,9.64,19.88,5.27,1.55,1.43,0.59,0.99,0.41,0.96,0.8,1.41,1.0,1.12
f_0,14.49,4.97,5.58,6.68,7.37,9.93,1.7,1.14,1.08,1.11,1.05,0.38,0.97,1.01,0.59,1.04
h_0,6.89,6.67,5.78,8.05,7.73,6.35,6.1,1.92,1.31,1.56,1.13,1.36,2.9,1.14,1.14,1.26
a_0,8.41,6.47,7.82,8.82,9.2,13.47,2.27,1.85,1.4,1.93,0.63,1.46,1.02,0.33,0.94,1.33
g_0,9.18,6.05,7.89,7.37,8.45,7.41,1.74,4.96,1.58,1.62,1.48,1.25,0.77,1.23,2.64,1.17
e_0,8.86,6.41,22.09,6.61,6.32,9.06,2.13,2.51,1.47,1.24,1.34,0.72,1.08,2.05,0.94,0.33
