,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.44,0.94,1.88,1.84,1.59,1.72,0.47,0.39,0.36,0.52,0.47,0.48,0.27,0.37,0.3,0.67
f_1,1.58,0.44,1.42,1.7,1.65,1.74,0.35,0.33,0.32,0.56,0.29,0.58,0.19,0.29,0.24,0.32
d_1,1.92,1.73,0.43,1.92,1.91,1.35,0.45,0.71,0.3,0.28,0.31,0.29,0.24,0.29,0.16,0.25
c_1,1.42,1.98,2.49,0.41,1.45,1.83,0.54,0.2,0.7,0.51,0.37,0.36,0.26,0.44,0.28,0.4
b_1,2.1,2.32,2.16,1.11,0.37,1.84,0.72,0.45,0.51,0.72,0.94,0.42,0.27,0.49,0.28,0.33
a_1,2.33,2.91,2.52,2.08,1.42,0.31,0.91,0.5,0.65,1.05,0.78,0.52,0.39,1.44,0.37,0.43
h_1,2.71,2.81,2.66,2.84,2.97,2.38,0.32,0.63,0.56,0.83,0.52,0.51,0.65,0.58,0.39,0.41
d_0,1.84,2.84,4.58,3.3,3.34,3.27,1.17,0.4,0.64,1.03,0.68,0.76,0.56,0.58,0.52,0.73
c_0,3.08,3.02,1.73,8.37,3.79,2.85,0.9,0.74,0.37,0.77,0.58,0.63,0.42,0.6,0.52,0.73
g_1,3.11,3.14,2.68,4.07,3.59,3.47,0.7,0.66,0.59,0.3,0.65,0.56,0.36,0.58,0.67,0.6
b_0,3.36,3.43,2.62,4.45,7.36,3.32,0.89,0.68,0.34,0.91,0.34,0.6,0.49,0.5,0.48,0.56
f_0,3.55,5.61,3.05,3.67,3.46,3.7,1.12,0.74,0.7,0.71,0.69,0.33,0.59,0.72,0.33,0.71
h_0,4.01,4.59,3.64,4.11,3.44,2.98,1.81,0.8,0.68,1.02,0.76,0.75,0.81,0.79,0.52,0.75
a_0,4.17,3.91,3.82,4.24,5.11,8.73,1.27,0.82,0.68,0.99,0.44,0.78,0.65,0.31,0.91,0.96
g_0,4.14,4.29,3.7,4.13,4.8,4.21,0.95,1.02,0.86,1.32,0.88,0.74,0.48,0.86,1.06,0.73
e_0,7.3,6.97,3.3,3.98,3.85,5.2,1.09,1.0,0.84,1.11,0.8,0.38,0.71,0.73,0.51,0.32
