,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.41,2.21,1.28,1.43,1.2,1.55,2.38,2.75,2.78,3.35,3.06,2.13,3.64,3.04,4.31,2.62
e_1,1.4,2.48,1.3,1.9,1.46,1.43,2.98,3.17,3.05,5.1,3.22,3.9,4.1,3.62,3.99,2.92
d_1,1.62,1.44,2.51,1.27,1.6,1.26,2.94,4.9,2.6,2.34,3.64,3.28,4.13,3.28,3.62,3.86
c_1,1.41,1.23,1.6,2.57,2.46,1.46,2.86,2.42,2.45,2.66,2.55,3.12,3.92,2.86,3.95,3.16
b_1,1.57,1.39,1.47,1.33,2.81,2.56,3.05,3.22,2.71,2.95,2.88,3.36,4.25,2.95,3.82,3.18
a_1,1.39,1.46,1.78,1.55,1.29,3.42,2.89,3.35,3.47,3.14,3.56,3.41,4.68,3.61,4.52,3.6
h_1,1.94,1.41,1.69,1.44,1.41,1.49,4.16,3.09,3.72,3.4,3.5,3.01,3.53,3.13,5.36,3.67
c_0,1.8,1.49,1.4,1.46,1.16,1.56,3.34,4.25,3.51,4.03,5.73,3.84,4.63,4.6,4.29,3.96
g_1,1.44,1.38,2.05,1.67,1.54,1.37,2.79,3.23,4.71,2.95,3.2,4.37,3.32,3.77,3.16,3.65
d_0,1.53,1.21,1.33,2.46,1.68,1.33,3.02,2.43,3.34,4.31,3.46,3.52,4.09,3.9,4.5,3.71
b_0,1.7,1.59,1.6,1.72,1.23,1.31,2.96,2.72,3.13,3.41,4.71,3.61,4.43,6.42,4.48,3.41
f_0,1.55,1.21,1.78,1.65,1.57,1.51,3.68,3.32,2.93,3.22,3.36,4.77,3.85,3.98,3.7,6.82
h_0,1.93,1.59,1.58,1.59,1.38,1.41,2.63,3.04,4.2,3.22,3.32,3.35,3.58,3.53,4.87,3.07
a_0,1.6,1.57,1.72,1.83,1.61,1.13,3.44,3.07,2.71,3.35,2.77,3.39,4.08,5.1,3.75,3.99
g_0,1.42,1.43,2.08,1.62,1.46,1.27,2.65,3.38,3.02,3.19,3.44,4.97,3.81,3.49,3.65,4.24
e_0,1.75,1.37,1.63,1.74,1.7,1.35,2.91,3.5,2.52,3.08,3.11,2.73,4.63,3.51,4.04,5.48
