,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,0.99,1.09,0.85,0.9,0.68,0.4,0.41,0.4,0.43,0.37,0.28,0.29,0.28,0.25,0.32
c_1,1.04,1.0,0.82,1.29,1.13,0.73,0.41,0.34,0.34,0.46,0.29,0.34,0.3,0.33,0.31,0.32
e_1,0.9,1.21,1.0,1.0,0.83,0.7,0.54,0.64,0.43,0.45,0.41,0.45,0.33,0.38,0.31,0.36
b_1,1.18,0.78,0.99,1.0,1.03,1.15,0.56,0.41,0.5,0.51,0.41,0.4,0.34,0.35,0.35,0.32
d_1,1.09,0.9,1.21,0.97,1.0,0.8,0.49,0.5,0.6,0.35,0.48,0.46,0.42,0.38,0.34,0.28
a_1,1.45,1.36,1.45,0.86,1.27,1.0,0.68,0.63,0.55,0.62,0.59,0.51,0.43,0.45,0.44,0.43
h_1,2.46,2.41,1.88,1.86,1.97,1.4,1.0,0.89,0.86,1.12,0.79,0.73,0.68,0.78,0.59,0.71
d_0,2.48,2.97,1.6,2.32,1.96,1.47,1.1,1.0,0.77,0.97,0.71,0.79,0.69,0.78,0.84,0.68
c_0,2.5,2.92,2.31,2.02,1.65,1.77,1.21,1.35,1.0,0.99,1.21,0.9,1.02,0.87,0.82,0.7
g_1,2.27,2.28,2.15,2.03,2.79,1.55,0.85,0.95,1.04,1.0,0.89,1.04,0.76,0.68,0.72,0.75
b_0,2.73,3.41,2.4,2.39,2.14,1.71,1.28,1.37,0.85,1.1,1.0,0.93,1.27,0.89,0.81,0.8
f_0,3.48,2.98,2.46,2.5,2.1,1.95,1.36,1.26,1.1,0.9,1.06,1.0,0.98,0.95,1.1,0.67
a_0,3.48,3.21,2.96,3.04,2.46,2.39,1.49,1.45,1.01,1.44,0.82,1.03,1.0,1.11,0.91,0.87
h_0,3.55,3.02,2.66,2.85,2.79,2.15,1.29,1.28,1.12,1.4,1.13,1.0,0.96,1.0,0.93,0.97
e_0,4.09,3.19,3.11,2.76,2.97,2.32,1.73,1.23,1.3,1.37,1.24,0.86,1.11,1.09,1.0,0.92
g_0,3.17,3.13,2.82,2.95,3.5,2.5,1.46,1.49,1.39,1.36,1.23,1.49,1.14,1.01,1.11,1.0
