,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.49,0.17,0.16,0.14,0.12,0.11,0.21,0.16,0.34,0.23,0.24,0.17,0.14,0.21,0.16,
f_1,0.24,1.5,0.2,0.15,0.13,0.14,0.2,0.2,0.18,0.2,0.23,,0.17,0.17,0.22,0.11
d_1,0.17,0.16,1.52,0.16,0.16,0.16,0.24,0.17,,0.34,0.2,0.14,0.16,0.23,0.17,
c_1,0.2,0.19,0.13,1.54,0.25,0.11,0.2,0.2,0.17,,0.16,0.16,0.17,0.26,0.19,0.2
b_1,0.23,0.23,0.19,0.15,1.61,0.18,0.17,0.16,0.21,0.15,,0.26,0.16,0.23,0.15,0.16
a_1,0.17,0.15,0.17,0.19,0.17,1.78,,0.19,0.25,0.26,0.18,0.15,,0.28,0.17,
h_1,0.41,0.48,0.31,0.42,0.41,,1.62,0.5,0.44,0.45,0.44,0.38,0.33,,0.69,0.45
g_1,0.47,0.25,0.49,0.41,0.42,0.37,0.47,1.69,0.4,0.43,0.34,0.72,0.39,0.3,,0.48
d_0,0.34,0.46,,0.75,0.43,0.3,0.63,0.55,1.42,0.4,0.56,0.64,0.42,0.62,0.58,0.37
c_0,0.47,0.46,0.44,,0.4,0.34,0.5,0.6,0.57,1.44,0.79,0.68,0.45,0.59,0.52,0.33
b_0,0.36,0.52,0.45,0.5,,0.42,0.55,0.62,0.56,0.48,1.46,0.52,0.63,0.71,0.63,0.34
f_0,0.46,,0.64,0.57,0.32,0.47,0.58,0.46,0.52,0.37,0.62,1.48,0.4,0.88,0.43,0.75
a_0,0.39,0.58,0.54,0.4,0.4,,0.73,0.48,0.74,0.61,0.47,0.55,1.62,0.37,0.45,
h_0,0.54,0.87,0.62,0.52,0.57,0.42,,0.86,0.69,0.77,0.53,0.33,0.97,,0.96,0.48
g_0,0.74,0.37,0.7,0.5,0.58,0.56,0.47,,0.72,0.88,0.67,1.16,0.78,0.81,,0.52
e_0,,0.54,,0.48,0.55,,0.57,0.47,0.71,0.69,0.73,0.49,,0.92,0.57,1.61
