,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.66,0.69,1.04,0.92,1.02,0.88,0.42,0.43,0.44,0.34,0.39,0.34,0.32,0.28,0.44,0.3
f_1,1.06,0.65,0.96,0.87,0.94,0.75,0.35,0.45,0.36,0.31,0.36,0.32,0.31,0.22,0.26,0.27
c_1,0.86,0.99,0.64,1.19,1.02,0.82,0.46,0.43,0.24,0.39,0.35,0.35,0.35,0.27,0.33,0.26
d_1,1.11,1.13,0.98,0.63,0.94,0.81,0.43,0.32,0.45,0.37,0.35,0.34,0.37,0.28,0.29,0.2
b_1,0.97,1.05,0.71,1.12,0.63,1.04,0.49,0.47,0.39,0.44,0.37,0.46,0.35,0.32,0.35,0.3
a_1,1.24,1.46,1.19,1.27,0.76,0.56,0.59,0.55,0.5,0.47,0.42,0.61,0.49,0.43,0.45,0.37
h_1,1.51,1.71,1.51,1.51,1.49,1.15,0.54,0.76,0.56,0.51,0.52,0.54,0.47,0.51,0.45,0.45
g_1,1.64,1.68,1.72,1.75,1.72,1.49,0.63,0.52,0.6,0.5,0.64,0.55,0.57,0.42,0.52,0.47
d_0,1.21,1.64,1.94,2.04,1.6,1.51,0.86,0.91,0.56,0.61,0.58,0.69,0.67,0.47,0.67,0.54
c_0,2.0,2.12,2.18,1.31,1.75,1.62,0.96,0.79,0.85,0.53,0.64,0.71,0.64,0.54,0.56,0.56
f_0,1.73,2.22,1.93,1.93,1.76,1.53,0.85,0.6,0.73,0.64,0.53,0.7,0.62,0.59,0.8,0.4
b_0,2.05,2.09,2.09,1.65,2.0,1.47,0.83,0.79,0.72,0.43,0.61,0.51,0.73,0.52,0.54,0.54
a_0,2.08,2.1,2.22,1.78,2.27,1.83,0.98,0.87,0.77,0.6,0.65,0.47,0.51,0.57,0.68,0.53
h_0,1.97,2.08,2.18,1.91,1.99,1.74,1.05,0.92,0.88,0.72,0.7,0.77,0.7,0.66,0.62,0.61
e_0,2.33,2.87,2.11,1.91,1.9,1.69,1.08,0.89,0.84,0.76,0.47,0.82,0.64,0.65,0.53,0.54
g_0,2.05,2.22,2.45,2.35,2.09,1.86,0.89,1.06,0.88,0.81,0.92,0.82,0.8,0.53,0.83,0.69
