,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.34,1.2,1.31,1.33,3.04,14.32,27.92,37.1,28.48,36.37,40.27,70.85,82.41,79.24,136.05
e_1,0.75,1.0,0.99,1.63,1.88,3.88,18.28,43.05,32.73,35.02,48.0,46.06,86.47,96.91,79.65,120.7
d_1,0.84,1.01,1.0,0.96,1.09,3.13,13.65,25.61,19.4,38.47,34.82,35.71,62.19,64.77,78.67,77.92
c_1,0.77,0.62,1.04,1.0,1.68,2.63,13.01,16.65,24.16,22.24,30.19,29.46,65.93,62.44,69.36,99.02
b_1,0.75,0.53,0.92,0.59,1.0,3.16,10.96,19.15,20.22,20.99,31.62,22.85,54.68,59.1,56.98,86.33
a_1,0.33,0.26,0.31,0.38,0.32,1.0,5.48,9.83,8.31,9.23,11.91,16.99,42.75,23.54,22.19,32.75
h_1,0.07,0.05,0.07,0.08,0.09,0.19,1.0,1.61,2.16,1.81,2.31,2.21,4.6,5.68,4.5,8.1
d_0,0.04,0.02,0.04,0.06,0.05,0.09,0.62,1.0,1.07,0.99,1.33,1.5,2.88,3.01,2.97,4.87
g_1,0.03,0.03,0.05,0.04,0.05,0.12,0.45,0.95,1.0,0.9,1.49,1.54,2.58,2.57,2.96,4.17
c_0,0.03,0.03,0.03,0.04,0.05,0.1,0.54,0.98,1.14,1.0,1.32,1.87,3.2,2.86,2.86,4.03
f_0,0.03,0.02,0.03,0.03,0.03,0.08,0.45,0.74,0.66,0.7,1.0,1.1,2.0,2.17,3.28,2.09
b_0,0.03,0.02,0.03,0.04,0.05,0.06,0.43,0.65,0.69,0.54,0.96,1.0,3.2,2.26,2.11,2.86
a_0,0.01,0.01,0.02,0.02,0.02,0.03,0.22,0.34,0.37,0.32,0.48,0.32,1.0,1.09,1.02,1.37
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.17,0.33,0.39,0.35,0.44,0.47,0.92,1.0,1.01,1.65
e_0,0.01,0.01,0.01,0.01,0.02,0.05,0.21,0.29,0.35,0.34,0.32,0.48,0.96,0.98,1.0,1.23
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,0.22,0.24,0.25,0.49,0.35,0.68,0.61,0.78,1.0
