,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.71,0.97,1.06,1.07,0.7,0.67,0.85,0.75,0.63,0.62,0.68,0.42,0.51,,0.6
f_1,1.42,1.0,1.08,0.96,0.86,0.78,0.56,0.62,0.79,0.66,0.56,,0.64,0.47,0.48,0.61
d_1,1.03,0.93,1.0,1.02,0.83,0.86,0.78,,0.51,0.9,0.63,0.56,0.66,0.66,0.57,0.48
c_1,0.94,1.05,0.98,1.0,1.23,0.99,0.64,0.51,0.69,,0.64,0.56,0.57,0.71,0.63,0.66
b_1,0.94,1.16,1.21,0.82,1.0,1.24,0.76,0.77,0.72,0.69,,0.76,0.64,0.68,0.54,
a_1,1.43,1.27,1.16,1.01,0.8,1.0,0.81,0.68,,0.78,,0.82,,0.59,0.62,0.7
h_1,1.5,1.79,1.29,1.57,1.32,1.24,1.0,0.85,0.84,0.85,0.77,0.8,0.74,,0.93,0.85
d_0,1.17,1.6,,1.94,1.3,1.47,1.17,1.0,1.25,0.94,0.95,0.76,0.99,0.81,0.84,0.93
g_1,1.34,1.27,1.98,1.46,1.4,,1.19,0.8,1.0,1.02,0.93,1.16,0.82,0.95,0.99,
c_0,1.58,1.52,1.11,,1.46,1.28,1.17,1.07,0.98,1.0,1.31,0.94,0.85,0.96,0.88,0.97
b_0,1.61,1.78,1.58,1.56,,,1.29,1.05,1.07,0.76,1.0,1.13,,0.95,0.76,0.7
f_0,1.48,,1.77,1.79,1.31,1.21,1.26,1.32,0.86,1.06,0.89,1.0,0.94,1.14,1.38,0.7
a_0,2.39,1.56,1.52,1.74,1.55,,1.35,1.01,1.22,1.17,,1.07,1.0,1.04,0.93,
h_0,1.95,2.12,1.53,1.41,1.47,1.7,,1.23,1.06,1.04,1.06,0.88,0.96,,0.77,1.2
e_0,,2.09,1.74,1.6,1.85,1.6,1.08,1.19,1.01,1.14,1.31,0.72,1.08,1.3,1.0,1.08
g_0,1.67,1.65,2.1,1.52,,1.42,1.17,1.07,,1.04,1.43,1.42,,0.83,0.93,
