,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,14.96,0.55,0.53,0.71,0.61,0.57,0.79,0.95,0.76,1.79,0.88,1.02,1.02,1.04,0.4,1.13
f_1,1.23,16.07,0.46,0.57,0.56,0.49,0.79,0.68,0.75,0.82,0.86,0.35,0.85,0.76,0.6,0.73
d_1,0.46,0.61,19.32,0.45,0.43,0.69,0.95,1.02,2.36,0.39,1.15,1.07,1.03,1.25,1.03,1.23
c_1,0.42,0.58,0.51,20.16,1.33,0.51,0.81,0.89,0.26,0.96,0.69,0.87,0.9,0.62,1.17,0.79
b_1,0.51,0.61,0.49,0.52,20.36,1.17,0.77,0.73,0.9,0.96,0.42,0.84,0.86,0.69,1.08,0.77
a_1,0.59,0.49,0.68,0.61,0.45,28.19,1.26,0.77,0.88,0.88,1.14,0.98,1.05,0.53,1.07,0.77
h_1,0.78,1.07,0.89,0.64,0.5,0.67,5.24,1.48,1.23,0.88,1.07,1.36,0.66,1.22,1.05,1.94
g_1,0.61,0.48,1.54,0.64,0.67,0.68,1.06,5.79,1.13,0.92,1.34,2.68,1.16,1.0,1.33,0.72
c_0,0.65,0.84,0.98,0.38,0.51,0.65,1.18,1.06,3.08,0.94,3.0,1.32,1.25,1.55,1.38,1.43
d_0,0.67,0.93,0.33,1.98,0.76,0.65,1.16,1.08,0.62,2.71,0.99,1.19,1.31,0.9,1.18,0.89
b_0,0.75,0.71,0.99,0.78,0.43,0.46,1.25,1.2,1.29,1.12,3.76,1.44,1.31,3.47,1.02,1.49
f_0,0.52,0.53,0.89,0.95,0.68,0.65,1.23,1.21,1.29,1.23,1.4,3.84,1.46,1.29,3.16,1.25
h_0,0.69,1.28,0.88,0.68,0.57,0.48,0.63,1.71,1.05,1.07,1.33,0.98,0.89,1.72,1.36,1.64
a_0,0.81,0.76,0.88,0.68,0.54,0.48,1.56,1.31,1.57,1.39,1.3,1.27,1.44,4.43,1.37,1.72
e_0,0.34,1.17,0.91,1.08,0.73,0.71,1.59,1.26,1.09,1.11,1.16,1.06,1.5,0.84,4.6,1.29
g_0,0.54,0.52,2.0,0.71,0.6,0.64,0.98,0.96,1.31,0.84,1.58,2.06,1.35,1.42,1.17,0.82
