,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.52,1.21,0.58,0.59,0.5,0.49,2.14,2.44,2.61,2.14,3.01,0.76,4.56,3.23,3.59,2.52
e_1,0.55,5.77,0.48,0.71,0.75,0.66,1.66,2.04,5.57,3.18,2.8,2.99,3.31,2.73,4.14,0.49
d_1,0.68,0.42,6.36,0.46,0.52,0.62,2.55,2.54,0.73,5.73,3.59,3.64,4.97,2.71,4.06,3.3
c_1,0.56,0.63,0.51,6.73,1.11,0.58,2.45,2.07,2.68,0.67,1.9,3.64,3.92,3.44,3.7,2.5
b_1,0.62,0.61,0.52,0.71,7.68,1.08,2.38,1.76,2.44,2.69,0.52,2.23,5.62,1.68,4.86,3.27
a_1,0.69,0.48,0.75,0.48,0.67,10.45,2.31,2.17,2.51,2.54,2.96,3.28,5.67,1.03,3.18,2.67
h_1,1.56,1.03,1.01,1.07,0.77,0.81,15.04,4.3,4.55,5.6,5.35,4.04,2.91,5.46,11.17,5.95
g_1,0.95,0.81,1.6,1.07,0.87,0.9,3.71,18.42,4.31,4.15,4.77,8.07,6.17,5.52,2.9,4.24
d_0,1.25,0.83,0.36,2.18,0.99,1.0,3.35,2.89,13.53,4.75,5.7,5.1,5.47,3.45,6.64,7.96
c_0,1.27,0.89,1.31,0.44,0.75,0.91,4.57,3.57,5.45,14.59,10.92,4.74,9.53,6.56,10.05,7.64
b_0,1.32,0.9,1.28,1.16,0.37,0.97,4.19,4.77,5.34,5.53,15.56,4.61,7.86,9.97,8.99,7.07
f_0,0.24,0.88,1.53,1.19,1.06,1.12,4.32,3.89,6.58,7.69,5.48,18.18,7.25,5.88,10.32,12.15
h_0,1.49,0.99,1.1,1.13,1.03,0.84,1.55,4.82,4.67,4.77,5.15,4.8,1.94,5.46,8.88,5.16
a_0,1.28,0.87,1.23,0.96,1.07,0.33,4.59,3.21,5.08,4.47,5.6,6.48,8.87,21.84,9.11,9.0
g_0,0.99,0.87,2.04,1.02,0.86,1.06,2.54,1.45,5.06,4.39,5.32,7.25,6.35,4.83,3.94,5.66
e_0,1.58,0.26,1.18,1.17,0.93,0.78,3.91,4.02,5.42,5.94,6.08,4.98,8.82,7.5,8.5,25.61
