,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,13015.42,127.1,194.07,212.62,424.39,1159.09,250522.79,288854.96,1440746.29,1057848.13,985720.11,1390929.33,5178719.94,,12418138.72,5554892.93
f_1,294.48,14854.46,182.22,189.62,316.96,1260.33,304664.05,310120.19,773923.67,1059187.87,,1523627.66,7312572.44,5103454.84,6001262.6,8366660.98
d_1,148.75,190.48,16870.9,188.56,325.05,1220.7,194407.58,290380.85,,1810373.65,1107321.86,1660176.49,5453985.23,6335559.68,13462854.95,7800204.0
c_1,135.47,221.77,222.31,16995.42,498.63,1798.38,180847.18,387873.34,1052352.94,,1109320.64,1320755.19,5805319.35,5519126.7,10404377.59,8204997.98
b_1,186.3,207.03,234.84,223.8,29320.87,2245.95,201655.83,386163.25,704063.3,964492.41,1043686.14,,7425245.96,6154168.79,7304664.96,
a_1,208.47,161.57,183.27,165.47,318.79,207326.33,286713.99,342604.96,771168.69,1058123.61,971687.29,1693746.24,3941356.52,,13978015.22,
h_1,743.06,1145.74,746.08,704.27,1004.72,6510.51,11560308.1,1652644.91,2886156.08,3443570.6,3422693.49,5634640.95,,18163937.77,53899025.37,20895472.23
g_1,383.78,511.39,1381.12,808.31,1057.05,5094.74,1149462.45,23023053.21,2760433.37,2371367.94,4746718.39,6697996.49,22573223.69,22150199.68,,29516681.06
d_0,828.62,946.41,,2290.31,1974.05,7165.85,1166971.17,2396721.63,24399096.11,3803497.96,5634307.75,5642258.76,34912710.1,,54549134.24,34824096.89
c_0,858.41,1008.45,921.47,,1437.04,6642.03,982248.4,1655252.19,4445560.67,28945499.14,6966560.78,15941141.07,28748718.13,26978789.92,58603015.67,44564400.81
f_0,845.27,,1161.46,1038.04,2251.2,6936.73,749644.55,2357309.2,4510152.43,4273318.33,39721156.24,4162106.8,24213111.71,61047569.01,45902362.1,42109121.78
b_0,932.97,908.89,888.77,896.82,,8742.71,1183505.03,1767766.43,3836951.92,3730220.05,7373078.31,53506279.72,35277662.72,28507752.42,49175108.21,68854268.79
h_0,1479.85,1609.73,1278.15,1842.47,1826.27,10103.38,,4647846.42,4561842.94,7184613.97,7303353.02,10305610.92,,36605024.83,135305755.5,54876083.09
e_0,,885.98,904.48,1115.48,1660.69,,1374093.47,2736590.3,,4793118.08,3870798.07,7142619.8,35197230.29,322351226.38,46337268.2,40270820.67
g_0,746.35,1610.17,2471.07,1355.14,2055.7,17173.88,2171549.59,,6227293.66,7686201.79,11459404.74,4940873.01,39195810.67,38008792.43,,
a_0,665.26,1234.72,1023.48,869.69,,,1216874.54,2168376.2,4521911.02,4367579.48,4468779.87,6305803.17,39304386.32,33032202.62,,410126515.74
