,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,9339.05,101.5,163.64,229.31,359.54,1809.11,175010.72,400460.5,1201173.99,1342152.04,1882187.2,1570348.55,3797997.83,9293806.38,,16186328.28
f_1,209.45,11370.55,243.93,273.54,356.91,2766.78,151671.1,355220.65,460224.56,1251400.99,,2261229.5,3052111.42,9900986.88,6222252.39,17534627.41
c_1,140.6,139.21,17711.39,237.61,417.9,2539.8,170483.6,388189.26,517308.44,,2076168.44,1921965.06,5101173.86,9789445.8,6346433.22,19162045.06
d_1,139.87,132.8,168.17,21888.12,280.99,2018.98,172933.85,516748.36,,2085373.85,2494388.56,2291760.87,5527037.44,7526003.32,9932368.83,17593668.05
b_1,124.08,146.62,235.24,257.61,26550.2,3933.73,200238.34,319279.27,592015.65,1710772.43,1978104.22,,,7261902.01,7863650.24,24099185.98
a_1,118.47,180.14,269.53,194.39,319.64,345728.26,214470.55,,494593.29,1810379.5,1253686.33,1616509.9,,8400295.7,,
h_1,592.06,780.24,678.18,838.51,1050.95,8668.45,7806728.03,2019821.65,2276689.82,6944548.59,4983970.4,6473437.8,12582102.35,,35911081.81,83850829.01
g_1,318.86,554.11,777.26,1744.05,905.6,,571760.36,22066551.56,1468014.48,7327407.01,9641024.43,7331213.9,14577308.97,29907156.04,39995937.26,
d_0,723.83,861.78,1985.51,,1837.07,10253.54,736062.93,1260945.8,16446528.5,7927556.53,6815494.76,6466039.59,15709653.51,46108289.71,40567307.79,122744395.81
c_0,638.84,777.13,,1544.33,1360.79,8861.08,722845.19,1961471.25,2368841.55,55557123.62,10371405.07,19697472.45,21562269.52,47186846.2,41516250.67,98275741.74
f_0,744.91,,980.76,970.09,1292.88,14541.7,1138793.34,1863585.93,3091770.17,7655569.83,67682873.75,9121956.04,28556556.56,42386648.79,65979761.14,92158770.71
b_0,631.67,665.94,1277.44,1628.79,,10903.28,1036831.07,2585924.01,1480525.97,6774035.12,8912926.23,76468495.54,30321941.51,29860426.11,49624893.37,113521643.64
a_0,545.52,853.2,886.51,1339.66,,,714832.93,1382482.75,1826576.62,11282441.15,9996535.0,5998615.04,224455432.13,55259776.51,,115698119.37
h_0,932.66,1868.66,1768.27,2186.29,1791.88,16234.04,,3368939.17,4339862.39,12355288.49,7917103.1,12092974.8,47733268.41,,41833168.61,167186648.99
e_0,,934.04,1106.39,1223.95,2093.53,,889655.62,2137500.72,2294604.35,8893092.26,8273485.52,7737141.39,,38717412.26,510969238.97,79196568.44
g_0,784.65,1245.0,1940.42,2958.94,1744.05,,1482290.13,,3598240.34,6585391.11,20348959.31,17188206.5,28658712.65,53757166.55,52026693.87,
