,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.06,2.34,2.17,1.95,2.19,1.85,0.69,0.87,0.71,0.56,0.94,0.66,0.44,0.52,0.57,0.49
e_1,1.5,1.06,2.66,2.38,2.24,1.82,0.88,0.94,0.77,0.69,0.81,0.67,0.58,1.12,0.65,0.53
c_1,2.67,1.95,1.06,2.73,2.43,1.66,0.87,0.93,0.45,0.84,0.63,0.62,0.55,0.6,0.55,0.6
d_1,2.68,2.7,2.32,1.06,2.43,1.9,0.87,0.59,1.29,0.76,0.62,0.56,0.53,0.59,0.52,0.39
b_1,2.78,2.97,1.7,2.6,1.07,3.31,1.13,0.98,0.84,1.13,0.77,1.35,0.61,0.7,0.77,0.56
a_1,3.96,3.55,5.05,4.62,1.91,1.07,1.4,1.42,1.02,1.07,1.17,1.58,1.06,1.13,1.54,0.84
h_1,6.28,6.07,5.28,5.69,5.05,5.1,1.36,2.6,1.92,1.87,1.93,1.79,1.77,1.59,1.44,1.54
g_1,7.17,7.36,7.09,8.05,7.62,5.38,1.99,1.34,1.98,2.1,2.55,1.81,1.19,1.57,1.78,1.86
d_0,7.16,4.65,8.38,8.13,8.28,6.03,2.74,2.66,1.6,1.86,2.06,1.98,1.59,1.77,2.0,1.82
c_0,8.01,7.6,13.32,4.47,7.16,7.74,2.87,2.77,2.65,1.56,2.19,2.5,1.81,1.76,2.23,1.67
f_0,11.86,6.56,8.16,7.55,8.11,5.5,3.0,1.84,2.27,2.25,1.5,2.3,1.84,1.96,2.31,1.13
b_0,9.16,7.99,10.4,8.01,10.92,5.6,3.43,3.09,2.44,1.41,2.2,1.53,2.04,1.84,2.62,1.75
h_0,10.52,9.76,9.27,8.78,9.26,7.78,4.53,4.15,2.65,2.51,2.57,2.2,2.65,2.23,2.25,1.9
e_0,14.34,12.76,9.96,10.34,9.67,8.36,3.52,3.89,3.3,2.92,1.85,3.37,2.45,1.62,2.98,1.86
a_0,10.44,10.18,11.84,11.95,11.02,12.7,4.78,3.47,2.82,2.86,3.42,1.73,2.25,2.38,1.63,2.45
g_0,12.12,11.02,10.72,10.4,11.4,11.25,3.54,5.42,3.53,3.06,4.04,3.48,2.16,2.87,2.79,3.1
