,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.89,0.83,1.64,1.45,2.66,17.23,24.9,27.67,43.44,47.41,47.67,81.61,78.87,81.03,103.94
d_1,1.09,1.0,1.04,1.17,1.37,2.51,16.03,19.45,36.33,28.33,41.14,43.48,73.33,80.03,84.26,80.23
f_1,1.21,0.94,1.0,1.13,1.23,2.32,13.16,24.95,25.44,28.41,34.51,40.74,55.76,58.31,75.24,100.28
c_1,0.61,0.89,0.86,1.0,1.46,2.02,11.93,20.35,22.28,16.58,31.19,28.74,58.02,61.85,53.46,72.78
b_1,0.7,0.74,0.82,0.68,1.0,2.83,11.99,19.62,20.17,21.43,27.05,30.0,58.49,61.73,52.08,71.72
a_1,0.38,0.4,0.43,0.5,0.34,1.0,5.82,9.66,10.21,12.92,15.21,23.47,25.99,32.0,34.08,33.96
h_1,0.06,0.06,0.08,0.08,0.08,0.17,1.0,1.66,1.69,1.83,2.51,3.01,4.86,4.61,4.37,7.26
g_1,0.04,0.05,0.04,0.05,0.05,0.11,0.58,1.0,1.18,1.2,1.84,2.05,2.43,3.28,3.01,4.25
c_0,0.04,0.03,0.04,0.05,0.05,0.1,0.58,0.83,1.0,1.32,1.38,2.23,2.64,2.63,3.26,3.6
d_0,0.02,0.04,0.03,0.06,0.05,0.08,0.53,0.8,0.74,1.0,1.32,1.53,2.52,2.56,2.47,3.57
f_0,0.02,0.02,0.03,0.03,0.04,0.06,0.41,0.55,0.71,0.76,1.0,1.13,2.03,2.83,1.87,2.08
b_0,0.02,0.02,0.02,0.04,0.03,0.04,0.34,0.5,0.44,0.64,0.84,1.0,1.75,1.69,2.48,2.07
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.2,0.43,0.38,0.43,0.5,0.58,1.0,0.95,1.02,1.6
e_0,0.01,0.01,0.02,0.02,0.02,0.03,0.21,0.31,0.37,0.36,0.36,0.63,1.04,1.0,1.0,1.28
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.22,0.33,0.33,0.38,0.51,0.43,1.07,1.05,1.01,1.47
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.24,0.28,0.29,0.48,0.48,0.66,0.81,0.66,1.0
