,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.11,4.71,4.96,4.57,4.06,3.86,1.14,0.78,1.78,0.79,0.84,0.78,0.61,0.93,0.4,0.73
f_1,4.01,1.12,4.32,4.94,4.58,4.46,0.87,1.38,0.97,0.82,0.76,1.5,0.41,0.73,0.78,0.77
e_1,5.54,2.49,1.12,4.99,4.42,4.73,1.51,1.5,1.0,1.04,1.07,1.07,0.67,0.89,0.65,1.63
c_1,7.18,5.35,4.76,1.12,5.09,5.09,1.47,1.4,0.61,1.79,1.05,1.19,0.88,0.9,0.73,1.09
b_1,5.83,7.13,5.36,3.16,1.13,6.05,1.83,1.76,1.26,1.41,2.9,1.21,0.92,1.57,0.98,1.19
a_1,6.82,11.34,8.41,9.72,4.21,1.14,2.99,3.14,2.07,1.83,2.07,1.58,1.56,4.51,1.5,1.83
h_1,15.42,14.94,13.95,14.26,19.51,13.49,1.75,4.59,3.04,2.5,2.99,2.88,3.89,2.78,2.66,3.08
g_1,15.35,18.13,18.43,16.57,22.55,15.3,3.6,1.76,3.81,3.89,3.89,3.78,2.05,3.59,3.64,3.45
d_0,28.33,19.62,10.11,20.6,20.08,19.24,5.08,6.23,2.21,3.85,4.49,3.37,3.19,3.3,2.98,3.98
c_0,9.57,21.01,18.53,53.93,21.49,19.63,6.37,5.92,5.4,2.34,4.46,3.87,3.12,3.38,2.51,3.84
b_0,17.07,23.34,19.44,30.9,34.39,17.5,6.27,5.59,4.13,2.16,2.17,3.98,2.66,3.36,2.81,3.42
f_0,19.33,43.55,24.2,22.99,22.92,24.91,7.14,4.39,5.91,4.79,5.69,2.29,3.72,5.14,2.25,5.8
h_0,26.29,28.57,32.05,26.02,32.75,26.26,12.0,8.04,6.53,5.64,5.26,6.14,6.03,5.21,4.15,4.96
a_0,27.47,33.69,32.94,27.98,33.55,46.26,8.54,11.37,8.17,5.24,3.73,5.07,4.41,2.48,4.65,6.0
g_0,33.22,35.71,36.3,41.77,33.55,27.76,8.2,19.89,7.38,7.84,7.07,6.96,3.79,7.12,7.27,7.28
e_0,30.2,58.54,64.67,38.03,33.96,34.09,8.9,8.63,6.07,6.17,9.32,3.05,5.94,7.96,4.36,2.59
