,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.41,1.07,0.96,0.8,0.81,0.76,0.5,0.33,0.43,0.72,0.4,0.36,0.3,0.39,0.37,0.23
e_1,0.87,0.41,0.59,0.98,1.01,0.85,0.57,0.55,0.39,0.48,0.39,0.51,0.37,0.44,0.67,0.41
f_1,0.78,0.96,0.41,0.93,0.88,0.77,0.36,0.72,0.38,0.37,0.37,0.64,0.26,0.36,0.36,0.33
c_1,1.02,0.75,0.84,0.38,1.11,0.89,0.48,0.39,0.46,0.25,0.39,0.41,0.31,0.35,0.32,0.36
b_1,0.96,0.8,0.94,0.55,0.35,1.34,0.48,0.48,0.43,0.38,0.77,0.38,0.29,0.38,0.49,0.4
a_1,1.07,0.83,1.12,0.92,0.48,0.3,0.46,0.52,0.4,0.46,0.5,0.36,0.54,0.69,0.41,0.36
h_1,0.68,0.78,1.02,0.78,0.73,0.78,0.25,0.51,0.38,0.36,0.35,0.31,0.46,0.31,0.3,0.34
g_1,0.83,0.76,0.79,0.89,0.78,0.71,0.33,0.23,0.36,0.31,0.37,0.34,0.25,0.36,0.42,0.37
c_0,0.5,0.87,0.81,1.34,0.86,0.82,0.44,0.42,0.26,0.48,0.4,0.34,0.31,0.33,0.39,0.3
d_0,1.05,0.48,0.84,1.01,0.87,0.73,0.42,0.58,0.34,0.25,0.35,0.37,0.32,0.34,0.39,0.35
b_0,0.65,0.76,0.81,1.02,1.01,0.72,0.43,0.45,0.21,0.42,0.24,0.34,0.41,0.43,0.35,0.33
f_0,0.76,0.65,1.16,0.76,0.85,0.79,0.44,0.33,0.36,0.37,0.4,0.24,0.37,0.34,0.42,0.22
h_0,0.79,0.7,0.81,0.83,0.96,0.58,0.52,0.46,0.33,0.35,0.3,0.29,0.44,0.31,0.29,0.32
a_0,0.69,0.7,0.91,0.95,0.98,0.88,0.51,0.41,0.32,0.37,0.21,0.36,0.3,0.21,0.34,0.27
e_0,0.7,1.33,0.98,1.05,0.64,0.67,0.4,0.35,0.33,0.3,0.4,0.19,0.38,0.36,0.2,0.29
g_0,0.77,0.72,1.05,0.8,0.72,0.66,0.33,0.52,0.36,0.34,0.3,0.43,0.24,0.37,0.35,0.35
