,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.05,1.17,1.68,1.67,1.67,1.37,0.69,0.52,0.64,0.6,0.5,0.61,0.37,0.47,0.62,0.41
f_1,1.86,1.05,1.62,1.74,1.45,1.46,0.5,0.51,0.6,0.5,0.47,0.59,0.32,0.42,0.35,0.39
d_1,1.81,2.0,1.05,1.62,1.58,1.48,0.65,0.63,0.46,0.65,0.48,0.48,0.39,0.45,0.52,0.29
c_1,1.72,2.0,2.47,1.05,2.06,1.66,0.79,0.71,0.82,0.39,0.6,0.53,0.46,0.48,0.5,0.4
b_1,2.29,2.48,2.32,1.4,1.06,2.42,0.88,0.75,0.74,0.65,0.74,0.61,0.53,0.6,0.63,0.54
a_1,2.91,2.71,2.54,2.51,1.4,1.07,1.09,0.9,0.96,0.84,1.07,0.87,0.71,1.26,0.71,0.66
h_1,4.56,5.6,4.64,4.8,4.13,3.47,1.27,1.32,1.96,1.46,1.4,1.34,1.33,1.23,1.17,1.14
c_0,5.88,6.54,3.73,7.16,5.32,4.79,2.24,1.35,2.03,1.96,1.91,1.53,1.38,1.59,1.36,1.21
g_1,5.9,6.67,6.14,5.25,5.57,4.28,1.74,1.59,1.3,1.6,1.69,1.72,1.04,1.55,1.39,1.36
d_0,4.21,5.86,6.67,6.95,6.17,5.31,2.34,1.72,2.33,1.46,1.88,1.54,1.38,1.58,1.57,1.37
b_0,6.52,6.44,5.72,6.33,7.4,4.37,2.34,1.28,2.11,1.73,1.41,1.61,1.31,2.22,1.57,1.25
f_0,6.19,9.05,6.4,6.48,6.37,4.85,2.35,1.84,1.73,2.03,1.9,1.41,1.67,1.86,1.95,1.12
h_0,7.67,8.43,7.23,7.69,7.08,5.8,3.41,2.24,3.32,2.24,2.57,2.15,2.04,1.9,1.7,1.76
a_0,7.92,8.97,7.14,9.38,8.39,6.59,3.03,2.07,2.64,2.39,1.37,1.96,1.9,1.45,1.86,1.54
e_0,9.68,12.48,7.31,8.9,7.32,5.79,3.0,2.54,2.88,2.6,2.47,1.47,2.06,2.26,1.48,1.71
g_0,8.32,9.58,9.04,9.09,7.99,7.21,2.67,2.57,4.17,2.35,2.76,2.75,1.81,2.4,2.18,2.16
