,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.45,37.89,22.24,32.81,37.35,24.14,9.22,5.93,10.65,8.41,5.74,5.83,4.44,6.27,,6.24
d_1,60.83,0.44,36.14,34.72,30.17,36.48,8.52,,5.29,5.53,6.86,7.06,3.8,7.34,8.01,3.19
f_1,38.44,30.59,0.44,40.07,32.64,34.37,6.09,6.72,11.12,5.35,7.79,,4.06,8.54,6.12,4.9
c_1,33.44,43.84,36.59,0.42,40.38,26.83,9.35,4.06,8.6,,6.78,7.53,5.32,5.4,10.84,5.56
b_1,36.67,35.91,38.65,19.34,0.39,50.02,10.97,8.35,11.45,7.81,,7.3,6.04,10.9,9.33,4.97
a_1,79.72,61.56,48.19,40.92,26.07,0.33,11.73,8.05,11.11,10.46,,8.92,4.62,,,6.61
h_1,14.57,17.97,20.99,15.99,18.21,21.46,0.38,2.95,6.13,3.97,2.87,3.79,,3.67,2.96,2.31
d_0,8.55,,13.37,14.46,16.46,23.56,4.29,0.51,4.36,3.38,3.56,3.19,1.86,2.65,1.98,2.42
g_1,21.74,20.66,26.65,20.28,16.41,17.3,4.05,4.9,0.34,3.37,5.04,4.01,2.2,4.41,4.38,
c_0,14.92,9.38,16.73,,14.9,15.95,4.69,3.71,4.72,0.51,2.82,2.42,3.79,2.47,2.83,1.63
b_0,16.96,19.7,14.07,23.15,,,3.8,3.11,5.4,2.26,0.46,3.15,2.6,4.89,2.87,2.14
f_0,15.25,12.73,,20.73,15.94,23.86,4.66,4.64,2.86,2.85,3.21,0.46,2.91,3.39,4.11,2.28
h_0,13.69,15.7,12.73,16.01,12.91,10.41,,2.16,4.86,2.18,2.35,3.34,,1.68,2.74,1.48
a_0,19.37,20.08,16.63,23.75,31.89,,5.81,4.3,5.6,5.63,2.14,3.58,2.35,0.41,,
e_0,,17.73,20.81,21.6,21.11,,5.6,5.8,5.08,5.81,6.19,2.34,2.77,,0.36,2.52
g_0,17.75,11.4,14.23,10.15,17.63,17.81,5.27,3.32,,2.99,3.07,3.61,1.1,,2.54,
