,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,2.32,0.71,0.87,0.7,0.88,0.73,1.41,2.53,1.58,1.86,1.44,1.88,2.35,1.91,0.87,2.14
f_1,1.23,2.33,0.82,0.7,0.72,0.69,1.24,1.51,1.47,1.39,1.36,0.68,1.82,1.99,1.47,2.01
c_1,0.76,0.71,2.5,0.96,1.25,0.76,1.57,1.25,0.6,1.12,1.29,1.54,1.83,1.38,2.17,2.15
d_1,0.78,0.81,0.48,2.61,0.74,0.83,1.55,1.0,2.53,2.3,1.57,1.92,2.18,1.68,1.82,2.09
b_1,0.62,0.84,0.72,0.82,2.75,1.32,1.58,2.03,1.6,0.94,1.18,1.91,2.1,1.56,1.6,1.9
a_1,0.64,0.86,0.81,0.75,0.59,3.3,1.62,2.12,2.32,2.01,1.54,1.75,2.63,0.87,2.01,1.83
h_1,0.95,1.4,1.08,1.06,0.82,0.97,3.93,1.68,1.97,2.0,2.37,2.32,1.07,1.62,2.42,2.93
d_0,0.96,1.04,1.87,0.53,0.82,0.75,2.11,3.62,2.03,2.42,2.16,1.93,2.86,2.18,2.52,3.2
c_0,1.05,1.31,0.77,1.03,0.99,0.84,2.25,2.2,3.85,3.22,1.96,2.55,2.84,2.26,2.18,2.37
b_0,1.21,1.17,1.18,0.81,0.54,0.79,2.2,2.37,2.42,4.21,1.99,2.02,2.69,3.72,1.9,3.19
g_1,0.88,1.09,1.09,1.28,0.93,0.9,2.11,1.92,2.42,2.43,4.94,2.83,2.36,2.34,2.07,2.08
f_0,0.84,0.91,1.17,1.15,0.87,1.1,2.08,2.72,2.38,2.71,2.46,4.57,3.39,2.23,3.82,2.87
h_0,0.9,1.27,1.21,1.06,0.73,1.0,1.61,1.98,2.48,2.24,2.51,2.17,1.91,2.29,2.12,3.32
a_0,0.93,0.91,1.22,1.09,0.94,0.56,2.51,2.67,2.16,2.21,2.65,2.83,2.59,4.77,2.52,3.03
e_0,0.63,1.31,0.93,1.25,1.07,0.97,2.09,1.78,2.57,2.67,2.76,2.25,3.6,2.34,4.82,2.99
g_0,0.73,0.92,1.1,1.46,1.12,0.87,1.79,2.06,2.66,1.91,,3.12,2.61,2.08,2.24,1.8
