,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.63,1.03,0.55,0.7,0.58,0.46,0.9,0.9,0.87,0.75,0.93,0.31,0.89,0.64,0.68,0.8
e_1,0.73,2.74,0.53,0.73,0.49,0.62,0.87,1.66,0.8,0.9,0.84,1.03,0.96,0.62,0.97,0.93
d_1,0.72,0.61,3.0,0.39,0.58,0.61,0.94,0.38,0.93,1.87,1.16,1.02,1.09,1.28,1.3,0.95
c_1,0.62,0.56,0.57,3.15,1.15,0.48,0.88,1.0,0.73,0.28,0.81,0.89,1.1,0.85,0.82,0.79
b_1,0.51,0.64,0.71,0.63,3.59,1.3,0.87,0.79,0.78,0.75,0.33,0.82,0.67,0.58,0.54,0.91
a_1,0.67,0.55,0.72,0.64,0.55,4.94,0.84,0.76,0.86,0.96,0.99,1.28,1.11,1.13,0.57,1.22
h_1,1.07,0.55,0.85,0.73,0.59,0.57,3.01,1.05,1.63,1.16,1.13,0.92,0.66,1.38,1.2,1.53
d_0,0.84,0.75,0.35,1.5,0.7,0.63,1.1,2.2,0.82,0.85,1.02,1.12,1.21,1.32,0.89,1.29
g_1,0.66,0.6,1.22,0.72,0.69,0.68,0.87,0.94,3.58,0.98,1.44,2.17,1.13,1.23,1.29,0.86
c_0,0.83,0.61,0.89,0.47,0.65,0.72,1.28,0.97,1.61,2.5,2.39,1.27,1.35,1.25,1.77,1.39
b_0,0.77,0.85,0.92,0.79,0.32,0.5,1.26,1.15,1.38,1.13,2.7,1.4,1.11,1.48,2.85,1.11
f_0,0.42,0.6,1.05,0.74,0.96,0.67,0.9,1.01,1.3,1.21,1.28,2.96,1.52,2.71,1.2,1.42
h_0,1.01,0.69,0.73,0.76,0.71,0.97,0.64,1.14,1.39,1.17,1.3,1.26,0.81,1.39,1.24,1.56
e_0,0.76,0.36,0.88,0.8,0.89,0.66,1.33,1.3,1.38,1.27,1.4,1.4,1.37,3.79,1.03,2.09
a_0,0.81,0.64,0.92,0.88,0.71,0.23,1.26,0.95,1.05,1.27,1.23,1.28,1.19,1.18,3.5,1.18
g_0,0.56,0.56,1.38,0.72,0.84,0.68,1.2,1.02,0.98,1.15,1.19,2.19,1.19,1.24,1.4,0.94
