,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,2.4,0.4,0.32,0.31,0.31,0.25,0.46,0.56,0.64,0.58,0.7,,0.48,0.66,0.81,0.46
e_1,0.27,2.4,0.28,0.2,0.27,0.27,0.53,0.46,1.06,0.62,0.63,0.71,0.68,0.7,0.62,
d_1,0.26,0.24,2.47,0.29,0.26,0.25,0.56,0.4,,1.02,0.69,0.7,0.53,1.03,0.57,0.8
c_1,0.25,0.35,0.28,2.54,0.46,0.3,0.44,0.58,0.45,,0.59,0.54,0.82,0.83,0.84,0.5
b_1,0.22,0.27,0.28,0.24,2.75,0.51,0.63,0.48,0.61,0.49,,0.71,0.68,0.88,0.81,0.53
a_1,0.31,0.29,0.34,0.22,0.2,3.16,0.76,0.71,0.55,0.68,0.54,0.53,,0.83,0.62,
h_1,0.7,0.5,0.5,0.63,0.44,0.4,3.82,1.18,1.44,1.21,1.14,1.25,0.88,,1.94,1.04
g_1,0.51,0.57,0.98,0.56,0.55,0.39,1.07,4.2,0.79,1.21,0.99,1.42,0.84,1.36,,
d_0,0.52,0.5,,1.06,0.57,0.67,1.31,1.36,3.46,1.56,1.22,1.61,1.4,1.95,1.54,1.33
c_0,0.7,0.67,0.49,,0.63,0.49,1.25,1.33,1.37,3.57,2.53,1.2,1.47,1.79,1.49,
b_0,0.6,0.61,0.56,0.63,,0.68,1.35,1.17,1.6,0.94,3.78,1.21,2.15,1.88,2.02,1.41
f_0,,0.58,0.51,0.73,0.71,0.72,1.25,1.14,1.41,1.49,1.28,3.96,1.07,1.69,1.52,
a_0,0.65,0.53,0.61,0.38,0.5,,1.38,1.44,1.46,1.28,1.2,1.6,4.53,2.01,1.96,
h_0,1.15,0.67,0.57,0.79,0.78,0.54,,1.93,1.28,1.4,1.52,1.95,1.79,,2.95,1.94
g_0,0.67,0.85,1.13,0.69,0.71,0.86,1.4,,1.99,1.71,1.3,2.32,1.3,1.56,,1.75
e_0,0.74,,0.53,0.73,0.7,,1.2,,1.57,,1.58,,,1.53,1.61,5.1
