,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.4,1.01,0.8,0.99,0.92,0.97,1.12,1.21,1.12,0.73,,0.81,,0.87,1.16
e_1,0.71,1.0,1.08,0.95,0.96,1.26,1.0,1.19,0.85,1.05,1.01,1.09,1.17,,1.05,1.11
c_1,0.99,0.93,1.0,1.19,1.34,1.16,1.14,0.71,,1.04,0.98,0.84,1.16,1.05,1.0,0.98
d_1,1.25,1.05,0.84,1.0,0.98,0.91,0.87,,1.31,0.77,1.06,1.02,1.36,0.85,1.0,0.71
b_1,1.01,1.04,0.75,1.02,1.0,1.45,1.17,1.02,0.96,0.86,,0.98,1.07,1.05,,0.79
a_1,1.09,0.8,0.86,1.1,0.69,1.0,1.19,1.13,1.07,1.15,,1.19,0.93,,,1.03
h_1,1.03,1.0,0.88,1.15,0.86,0.84,1.0,1.05,0.72,1.57,0.95,1.02,,1.15,1.15,1.12
d_0,0.89,0.84,1.41,,0.98,0.88,0.96,1.0,1.04,0.98,1.25,0.89,0.99,0.94,0.83,1.07
c_0,0.83,1.18,,0.76,1.04,0.94,1.38,0.96,1.0,0.93,1.18,1.16,0.87,0.87,1.14,1.02
g_1,0.89,0.95,0.96,1.31,1.16,0.87,0.64,1.02,1.07,1.0,1.03,1.41,0.86,,,
b_0,1.37,0.99,1.02,0.94,,,1.05,0.8,0.85,0.97,1.0,1.0,0.96,,1.24,1.16
f_0,,0.92,1.19,0.98,1.02,0.84,0.98,1.13,0.86,0.71,1.0,1.0,1.24,1.6,,0.76
h_0,1.24,0.85,0.86,0.73,0.94,1.08,,1.01,1.15,1.16,1.04,0.81,,0.94,0.96,1.19
e_0,,,0.95,1.18,0.95,,0.87,1.07,1.14,,,0.62,1.07,1.0,,1.15
a_0,1.15,0.95,1.0,1.0,,,0.87,1.2,0.87,,0.81,,1.05,,1.0,
g_0,0.86,0.9,1.02,1.41,1.27,0.97,0.89,0.93,0.98,,0.86,1.32,0.84,0.87,,
