,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.41,2.2,3.6,3.54,3.59,3.56,2.1,2.45,1.48,1.86,1.82,1.45,1.84,1.41,,1.35
f_1,4.34,0.41,3.97,3.4,3.61,4.06,1.66,2.11,1.64,1.24,1.38,,1.66,0.99,1.74,1.26
d_1,4.07,3.21,0.4,2.97,3.53,3.57,2.09,1.25,1.93,,1.84,1.77,1.66,1.34,1.51,0.97
c_1,3.29,4.58,3.94,0.4,4.25,3.16,1.92,1.32,,1.0,1.75,1.59,1.41,1.49,2.48,1.28
b_1,4.28,3.5,3.76,2.31,0.38,3.91,1.62,2.19,1.9,1.5,,1.51,2.12,1.53,1.31,1.32
a_1,3.73,3.35,4.2,4.0,2.61,0.31,1.87,2.34,1.58,1.39,1.92,1.55,,1.45,,1.54
h_1,1.73,1.78,1.46,1.69,2.2,1.65,0.28,0.84,0.87,0.84,0.76,0.84,0.77,,1.18,0.81
g_1,1.58,2.02,2.44,2.51,1.53,1.65,0.89,0.24,0.73,0.8,0.97,1.09,0.82,0.48,0.72,
c_0,1.75,1.51,0.92,,1.69,2.0,0.9,1.07,0.28,0.84,0.7,0.71,0.76,0.61,0.6,0.59
d_0,1.05,1.87,,1.69,1.65,1.67,0.76,1.01,0.88,0.28,1.02,0.65,0.6,0.49,0.5,0.68
b_0,1.5,1.68,1.5,1.91,,1.68,0.83,0.8,0.46,0.75,0.27,0.63,1.04,0.64,0.59,0.68
f_0,1.94,,1.64,1.49,1.51,1.64,0.76,0.6,0.61,0.78,0.89,0.26,0.76,0.72,,0.39
a_0,1.52,1.41,1.75,1.88,1.62,,0.99,1.02,0.76,0.93,0.35,0.97,0.22,0.66,0.73,
h_0,1.12,1.41,1.44,1.56,1.06,1.29,,0.73,0.52,0.68,0.46,0.68,0.51,,,0.52
e_0,,1.65,1.92,1.24,1.5,,0.75,0.88,0.83,0.93,0.82,,0.73,,0.21,0.42
g_0,1.71,1.96,1.45,1.44,1.32,1.13,0.52,,0.57,0.57,0.57,0.65,,0.34,0.64,
