,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.41,0.86,0.89,0.81,0.81,0.68,0.39,0.31,0.41,0.57,0.42,0.32,0.39,0.29,0.37,0.25
f_1,0.74,0.41,0.89,0.87,0.74,0.75,0.35,0.52,0.33,0.37,0.33,0.48,0.32,0.25,0.27,0.33
e_1,0.81,0.53,0.4,1.0,0.85,0.88,0.49,0.41,0.39,0.48,0.44,0.4,0.39,0.29,0.51,0.34
c_1,0.95,0.82,0.63,0.39,0.95,0.74,0.5,0.46,0.46,0.22,0.35,0.37,0.36,0.36,0.38,0.29
b_1,0.94,0.91,0.81,0.49,0.37,0.99,0.45,0.47,0.38,0.42,0.5,0.37,0.34,0.33,0.41,0.37
a_1,0.89,0.82,0.83,0.93,0.49,0.3,0.48,0.52,0.4,0.37,0.43,0.39,0.57,0.38,0.37,0.31
h_1,0.67,0.87,0.69,0.7,0.81,0.75,0.25,0.44,0.28,0.31,0.33,0.31,0.32,0.36,0.31,0.29
g_1,0.77,0.71,0.83,0.74,0.71,0.58,0.31,0.23,0.32,0.36,0.34,0.37,0.32,0.21,0.32,0.35
c_0,0.45,0.9,0.69,1.06,0.86,0.71,0.45,0.39,0.25,0.44,0.39,0.31,0.37,0.25,0.33,0.27
d_0,0.94,0.75,0.44,0.87,0.69,0.79,0.47,0.45,0.29,0.24,0.32,0.37,0.3,0.27,0.33,0.3
b_0,0.64,0.79,0.64,0.82,1.02,0.67,0.37,0.37,0.21,0.36,0.22,0.34,0.42,0.31,0.35,0.29
f_0,0.73,1.12,0.68,0.76,0.72,0.67,0.39,0.27,0.31,0.31,0.29,0.23,0.3,0.32,0.38,0.21
a_0,0.65,0.73,0.76,0.77,0.84,1.16,0.4,0.41,0.26,0.33,0.19,0.33,0.21,0.27,0.27,0.27
h_0,0.74,0.76,0.79,0.66,0.63,0.54,0.49,0.48,0.35,0.33,0.3,0.3,0.3,0.37,0.3,0.3
e_0,0.65,1.06,0.93,0.73,0.72,0.72,0.34,0.34,0.3,0.34,0.28,0.2,0.32,0.27,0.2,0.24
g_0,0.72,0.79,0.65,0.76,0.65,0.79,0.32,0.59,0.34,0.3,0.26,0.34,0.3,0.23,0.31,0.29
