,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.67,0.93,1.45,1.39,1.36,1.22,0.74,0.5,0.75,0.66,0.56,0.63,0.41,0.52,0.86,0.45
f_1,1.5,0.66,1.34,1.36,1.25,1.33,0.47,0.52,0.61,0.46,0.48,0.72,0.32,0.46,0.4,0.4
d_1,1.41,1.5,0.65,1.41,1.36,1.42,0.65,0.62,0.5,0.78,0.46,0.47,0.42,0.45,0.56,0.29
c_1,1.34,1.66,1.64,0.63,1.71,1.22,0.68,0.87,0.76,0.34,0.58,0.5,0.44,0.49,0.52,0.45
b_1,1.64,1.84,1.65,1.0,0.61,1.92,0.8,0.61,0.55,0.61,0.61,0.56,0.46,0.54,0.59,0.5
a_1,1.96,1.76,1.56,2.18,0.97,0.58,0.9,0.71,0.71,0.7,0.9,0.68,0.73,1.97,0.6,0.69
h_1,2.0,2.57,2.03,2.19,2.03,1.85,0.57,0.7,1.18,0.86,0.83,0.79,0.86,0.72,0.63,0.74
c_0,2.45,2.57,1.53,3.29,2.53,2.13,1.17,0.61,1.05,0.93,0.95,0.85,0.76,0.84,0.76,0.66
g_1,2.39,2.95,2.51,2.17,2.7,1.92,0.76,0.84,0.55,0.83,0.82,0.96,0.54,0.85,0.67,0.82
d_0,1.5,2.49,3.12,2.9,2.48,2.67,1.07,0.86,1.29,0.64,0.98,0.73,0.75,0.79,0.91,0.77
b_0,2.44,2.51,2.46,2.42,4.26,1.96,1.04,0.58,1.02,0.88,0.61,0.86,0.66,1.21,0.79,0.68
f_0,2.34,4.14,2.6,2.7,2.36,1.96,1.05,0.85,0.79,0.97,0.85,0.6,0.83,0.94,0.95,0.58
h_0,2.65,2.96,2.74,2.6,2.61,2.08,1.62,0.89,1.53,0.92,1.09,0.91,1.09,0.82,0.78,0.86
a_0,2.64,2.96,2.73,3.31,3.59,2.41,1.36,0.83,1.13,1.09,0.56,0.89,0.93,0.57,0.79,0.75
e_0,3.51,4.03,2.44,3.03,2.59,2.13,1.18,1.01,1.29,0.98,0.99,0.61,0.9,0.9,0.56,0.73
g_0,2.76,3.22,3.2,2.77,2.73,2.5,1.01,1.04,1.97,0.88,1.08,1.13,0.72,1.04,0.98,1.01
