,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.68,5.79,7.42,5.37,4.56,6.42,2.53,1.77,1.92,,1.79,2.31,2.38,1.51,1.75,1.24
f_1,5.86,0.67,7.27,4.32,5.23,6.6,1.67,3.16,2.26,2.2,2.1,,1.84,1.18,2.63,1.71
e_1,5.64,3.49,0.65,5.99,5.58,6.1,2.82,3.89,1.84,2.37,2.25,2.84,2.27,1.7,,1.98
c_1,8.2,7.86,5.47,0.65,7.34,5.17,3.31,2.56,,1.2,1.44,2.43,1.65,2.02,1.97,1.71
b_1,8.68,6.29,7.21,3.83,0.62,5.52,3.54,3.46,2.99,2.17,,2.18,1.72,1.93,1.46,1.95
a_1,6.26,9.03,7.11,6.87,4.43,0.57,3.91,2.81,2.8,2.26,3.01,2.78,,2.22,2.84,2.65
h_1,4.69,6.05,5.01,5.04,4.64,3.93,0.61,2.13,2.26,1.57,1.61,1.43,1.77,,1.63,1.49
g_1,6.34,5.26,5.65,4.78,4.46,6.87,1.73,0.58,1.88,2.35,2.02,2.07,1.88,1.57,2.2,
c_0,3.64,4.54,5.78,,4.62,4.56,1.87,2.44,0.69,2.26,1.91,1.33,1.88,1.23,1.69,1.41
d_0,,4.27,3.06,5.71,4.38,5.13,2.5,2.15,1.61,0.72,1.81,1.9,2.13,1.36,1.57,1.09
b_0,5.85,5.24,5.31,10.0,,4.58,1.95,1.65,1.27,1.8,0.68,1.89,1.84,1.6,,1.48
f_0,4.67,,4.95,5.08,6.53,4.51,3.03,1.81,2.2,1.63,1.85,0.67,1.76,1.46,2.04,1.15
a_0,4.91,6.29,5.44,6.47,8.55,,2.75,3.17,1.95,1.74,1.67,2.31,0.62,1.41,,1.55
h_0,4.17,5.42,4.08,3.94,4.94,4.86,,1.72,1.94,1.68,1.91,2.22,1.5,,1.28,1.24
e_0,8.19,5.81,,6.45,6.66,4.0,3.45,2.18,2.16,2.27,,1.06,,2.28,0.62,1.52
g_0,4.34,5.54,4.45,5.6,5.13,3.75,1.71,,1.94,3.13,2.11,1.59,2.08,1.22,1.65,
