,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,3.81,0.74,0.47,0.46,0.35,0.32,0.47,0.78,0.78,0.49,0.78,0.19,0.94,0.81,0.53,0.67
e_1,0.43,3.86,0.34,0.46,0.36,0.35,0.82,1.46,0.7,0.72,0.8,0.77,0.8,0.97,0.24,0.83
d_1,0.45,0.32,4.26,0.38,0.39,0.42,0.65,0.22,1.64,0.87,0.91,0.89,0.93,0.72,0.96,0.77
c_1,0.44,0.39,0.33,4.33,0.76,0.29,0.79,0.79,0.2,0.7,0.59,0.86,0.8,0.71,1.0,0.77
b_1,0.34,0.31,0.41,0.35,4.53,0.91,0.82,0.91,0.73,0.9,0.25,0.68,0.97,0.69,0.76,0.76
a_1,0.38,0.33,0.41,0.29,0.48,6.52,0.95,0.71,0.85,0.82,0.88,0.9,0.95,0.21,0.85,1.24
h_1,0.97,0.62,0.83,0.6,0.58,0.39,5.52,1.34,1.37,1.68,1.49,1.42,0.58,1.38,1.53,2.49
d_0,0.77,0.68,0.28,1.43,0.62,0.46,1.69,3.68,0.88,1.28,1.3,1.51,1.9,1.52,1.37,1.41
c_0,0.95,0.77,0.72,0.25,0.53,0.79,1.38,1.43,4.0,1.13,3.06,1.53,1.5,1.84,1.82,1.81
g_1,0.51,0.62,1.17,0.83,0.55,0.53,1.11,1.38,0.89,7.28,1.36,2.65,1.55,1.51,1.45,0.79
b_0,0.84,0.92,0.66,0.7,0.17,0.58,1.04,1.38,1.44,1.19,4.75,1.61,1.24,3.23,2.11,1.54
f_0,0.26,0.63,0.87,0.83,0.77,0.6,1.44,1.12,1.63,1.23,2.03,5.43,1.93,1.39,3.48,1.68
h_0,0.92,0.76,0.82,0.64,0.62,0.57,0.58,1.12,1.46,1.41,1.61,1.58,0.59,0.88,1.27,1.89
a_0,0.78,0.61,0.91,0.88,0.6,0.26,1.51,1.36,1.65,1.51,1.84,2.21,1.81,6.68,0.93,2.2
e_0,0.86,0.21,0.77,0.81,0.67,0.73,1.86,1.29,1.96,1.32,1.72,1.28,1.83,1.68,7.48,1.74
g_0,0.55,0.68,1.18,0.61,0.63,0.58,1.61,1.15,1.38,0.52,1.55,2.84,1.37,1.65,1.37,0.99
