,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.28,1.14,1.3,1.4,2.97,15.86,23.67,33.62,32.64,40.17,39.36,65.99,73.0,87.68,105.55
e_1,0.78,1.0,1.05,1.4,1.48,3.44,19.65,25.6,32.65,48.19,39.75,45.0,75.44,86.6,97.78,114.55
d_1,0.87,0.96,1.0,0.91,1.1,2.54,15.72,29.85,20.94,33.7,39.47,39.87,65.33,71.01,91.11,73.36
c_1,0.76,0.72,1.07,1.0,1.51,2.2,15.06,16.12,25.59,19.32,27.81,32.52,57.41,66.1,75.38,80.86
b_1,0.72,0.66,0.92,0.66,1.0,3.73,14.06,19.57,22.18,24.6,30.65,26.88,55.96,49.69,68.35,82.73
a_1,0.34,0.3,0.39,0.45,0.28,1.0,6.42,8.9,9.68,10.55,16.29,13.22,22.6,28.41,30.22,35.38
h_1,0.06,0.05,0.06,0.07,0.07,0.15,1.0,1.39,1.91,2.12,2.46,2.37,3.99,3.77,4.76,6.46
c_0,0.04,0.04,0.03,0.06,0.05,0.11,0.73,1.0,1.0,1.42,2.14,1.65,2.77,3.39,3.9,3.79
g_1,0.03,0.03,0.05,0.04,0.05,0.1,0.54,0.93,1.0,1.14,1.19,1.63,2.22,2.99,3.34,3.35
d_0,0.03,0.02,0.03,0.05,0.04,0.09,0.47,0.67,0.89,1.0,1.1,1.11,2.1,2.35,2.55,3.15
b_0,0.02,0.02,0.03,0.04,0.04,0.06,0.37,0.48,0.87,0.92,1.0,0.94,1.88,2.83,2.43,2.94
f_0,0.03,0.02,0.03,0.03,0.04,0.07,0.44,0.63,0.61,0.85,1.07,1.0,2.04,2.05,3.44,1.97
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.24,0.37,0.46,0.47,0.53,0.49,1.0,1.04,1.29,1.78
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.26,0.3,0.37,0.42,0.36,0.49,0.98,1.0,1.18,1.41
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.2,0.25,0.32,0.37,0.4,0.28,0.77,0.8,1.0,1.13
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.26,0.3,0.31,0.36,0.52,0.55,0.74,0.89,0.99
