,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.94,0.46,0.27,0.28,0.22,0.2,0.16,0.18,0.18,0.18,0.17,0.06,0.12,0.14,0.08,0.14
e_1,0.25,0.94,0.21,0.31,0.31,0.2,0.2,0.14,0.19,0.3,0.17,0.14,0.16,0.16,0.07,0.14
d_1,0.33,0.33,0.94,0.26,0.24,0.2,0.19,0.15,0.28,0.06,0.19,0.18,0.12,0.16,0.12,0.12
c_1,0.27,0.3,0.31,0.94,0.45,0.18,0.17,0.12,0.07,0.16,0.13,0.14,0.12,0.17,0.11,0.15
b_1,0.35,0.26,0.34,0.26,0.93,0.29,0.18,0.16,0.17,0.17,0.08,0.16,0.13,0.19,0.15,0.15
a_1,0.38,0.31,0.37,0.33,0.24,0.93,0.23,0.21,0.19,0.24,0.18,0.17,0.06,0.19,0.16,0.19
h_1,0.73,0.51,0.61,0.56,0.48,0.26,0.72,0.43,0.38,0.29,0.35,0.24,0.24,0.18,0.19,0.31
g_1,0.59,0.48,0.82,0.69,0.4,0.32,0.29,0.73,0.28,0.32,0.32,0.42,0.24,0.28,0.28,0.14
c_0,0.63,0.6,0.56,0.38,0.46,0.44,0.38,0.46,0.63,0.36,0.61,0.32,0.31,0.32,0.26,0.26
d_0,0.63,0.47,0.37,0.9,0.55,0.41,0.52,0.32,0.31,0.62,0.34,0.27,0.29,0.29,0.18,0.28
b_0,0.71,0.58,0.62,0.68,0.35,0.32,0.4,0.33,0.36,0.39,0.62,0.38,0.46,0.37,0.21,0.26
f_0,0.41,0.6,0.67,0.71,0.54,0.44,0.47,0.41,0.44,0.41,0.33,0.6,0.27,0.38,0.47,0.24
a_0,0.74,0.52,0.83,0.7,0.6,0.26,0.47,0.38,0.41,0.36,0.34,0.35,0.59,0.45,0.3,0.31
h_0,0.92,0.56,0.72,0.64,0.52,0.41,0.29,0.53,0.43,0.42,0.4,0.3,0.27,0.2,0.34,0.36
e_0,0.88,,0.77,0.78,0.5,0.47,0.59,0.45,0.42,0.51,0.5,0.28,0.26,0.35,0.63,0.34
g_0,0.65,0.65,1.05,0.63,0.55,0.43,0.43,0.31,0.43,0.31,0.39,0.47,0.32,0.32,0.28,0.19
