,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,11.71,0.77,0.47,0.98,0.59,0.61,0.97,0.93,2.28,0.79,1.05,1.03,1.07,0.98,0.72,1.0
f_1,1.81,12.9,0.54,0.54,0.5,0.54,0.84,0.81,1.13,1.0,0.96,0.54,0.94,1.01,0.55,0.94
d_1,0.55,0.76,15.16,0.47,0.63,0.62,0.92,1.01,0.48,2.4,1.25,0.83,1.14,0.96,1.16,0.96
c_1,0.44,0.58,0.77,13.15,1.85,0.62,0.95,0.84,0.79,0.47,0.55,0.91,0.76,0.97,0.85,0.9
b_1,0.57,0.6,0.76,0.62,14.41,1.78,0.77,0.78,0.75,0.82,0.57,1.03,0.84,0.65,0.88,0.89
a_1,0.62,0.62,0.76,0.76,0.62,20.81,1.15,0.95,0.87,0.74,0.92,1.12,1.12,0.57,1.13,0.94
h_1,0.61,1.19,0.88,0.72,0.74,0.76,3.85,1.61,0.91,1.06,1.18,1.01,0.71,0.99,1.07,1.27
g_1,0.55,0.65,1.53,0.73,0.61,0.7,0.8,4.45,0.74,1.04,0.99,2.39,1.05,1.06,1.81,0.99
d_0,0.68,0.68,0.44,2.69,0.64,0.64,1.11,1.03,2.03,0.61,1.34,1.23,1.07,1.12,1.08,1.14
c_0,0.93,0.81,0.85,0.57,0.49,0.65,1.18,1.11,1.07,2.47,3.09,1.18,1.36,1.42,1.45,1.35
b_0,0.73,0.92,1.0,0.86,0.36,0.43,1.17,1.34,0.96,1.16,2.91,1.43,1.37,3.06,1.28,1.54
f_0,0.66,0.55,0.98,0.89,0.73,0.65,1.14,1.15,1.0,1.02,1.12,2.85,1.51,1.28,3.46,1.42
h_0,0.77,1.41,0.7,0.71,0.63,0.68,0.78,1.54,0.8,1.02,1.19,1.17,0.8,1.36,1.13,1.67
a_0,0.85,0.82,0.83,0.88,0.73,0.45,1.23,1.14,1.05,0.98,1.15,1.18,1.18,3.34,1.24,1.18
e_0,0.44,0.88,0.92,0.98,0.64,0.83,1.47,1.16,0.98,1.21,1.67,1.11,1.15,1.37,3.71,1.13
g_0,0.65,0.58,1.46,0.76,0.61,0.88,1.17,0.81,0.86,1.05,1.34,1.97,1.33,1.14,1.42,0.55
