,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,86.99,47.85,64.98,108.21,104.14,385.51,10512.53,28876.76,19059.24,18639.3,32900.97,40375.7,98884.17,122701.26,171162.18,279867.69
f_1,57.38,103.71,63.77,74.03,99.33,306.11,7953.53,13641.67,15199.33,17671.26,32696.09,19944.63,79927.29,96064.17,151574.33,203253.97
d_1,34.66,45.78,138.48,59.63,81.72,274.22,8482.13,10188.56,14410.39,28741.16,31765.96,38412.61,81536.95,130346.38,124366.66,184895.69
c_1,26.65,43.76,60.33,151.02,137.07,310.56,8107.9,9064.55,15105.44,8497.58,25062.73,33286.74,75418.22,87652.06,111791.92,203080.0
b_1,31.92,36.01,54.56,48.47,186.29,510.83,7373.04,12175.12,13823.21,13344.54,15102.63,34142.89,85956.78,88777.5,101356.42,203563.06
a_1,18.15,31.14,39.77,38.77,37.3,546.25,5427.49,8772.61,8290.1,13694.89,17928.34,20018.91,47697.46,71129.41,43508.59,147953.15
h_1,8.79,15.25,16.39,18.65,23.48,72.6,3733.31,3600.16,5126.58,4369.91,7016.23,7643.33,16567.48,28786.2,31742.26,63269.97
d_0,6.75,10.1,9.43,29.09,20.93,73.16,1879.36,4728.27,3459.38,3828.4,6051.1,9098.84,18131.09,24142.15,31155.12,53790.54
g_1,7.09,7.98,19.51,12.2,17.57,73.54,1502.13,2720.84,6210.15,3830.2,5785.2,11001.49,16039.3,27564.06,33647.55,33603.93
c_0,8.49,10.52,13.76,11.87,17.97,53.29,1989.89,2556.16,3274.04,5805.5,10143.41,7538.79,17623.62,27421.84,32011.82,44590.24
b_0,7.84,8.22,12.65,12.38,8.19,49.87,1508.27,2835.76,2927.6,3018.76,8169.28,6649.21,16097.7,24210.14,46411.51,38954.36
f_0,6.33,7.04,11.65,11.69,13.61,53.89,1794.18,2453.71,2758.39,3524.17,5248.33,9512.05,15019.81,34018.12,18991.05,37992.24
h_0,4.96,7.78,9.63,9.93,9.37,42.28,820.07,1940.6,2696.31,2586.78,4255.19,4814.01,8435.94,17221.1,16640.93,40446.34
e_0,2.73,7.19,6.93,9.25,9.16,33.31,1120.91,1757.23,1643.92,2429.47,3346.98,4323.13,9118.67,24316.14,14713.88,27425.95
a_0,3.92,5.43,8.01,8.65,8.01,21.71,971.64,1514.78,1999.46,1955.13,2795.2,4023.57,10372.27,15792.87,27043.72,24967.54
g_0,3.18,4.08,8.89,8.17,9.03,27.31,819.53,1146.8,1357.23,1817.28,2716.59,4989.51,6909.85,12186.54,13011.86,17797.68
