,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,13.8,1.29,0.59,0.6,0.48,0.45,0.76,0.92,0.75,0.65,0.81,0.45,0.92,0.84,0.81,0.62
e_1,0.51,15.78,0.44,0.67,0.65,0.61,0.79,0.77,2.2,0.87,0.99,1.01,0.73,0.82,0.93,0.49
d_1,0.61,0.42,19.36,0.45,0.51,0.56,1.05,0.97,0.38,2.2,1.34,1.08,1.09,1.0,0.93,1.09
c_1,0.58,0.53,0.46,17.31,1.28,0.54,0.91,0.74,0.77,0.42,0.57,1.08,0.86,1.07,0.79,0.86
b_1,0.53,0.53,0.48,0.61,20.26,1.4,0.89,0.73,0.84,0.73,0.32,0.77,1.13,0.61,1.05,0.94
a_1,0.66,0.47,0.7,0.52,0.58,27.83,0.86,0.97,0.84,0.98,0.99,0.98,1.27,0.51,0.88,0.9
h_1,1.21,0.65,0.87,0.73,0.56,0.51,4.79,1.76,1.17,1.21,1.21,0.99,0.6,1.16,1.78,1.21
g_1,0.63,0.62,1.47,0.73,0.63,0.69,1.11,5.78,0.96,1.14,1.12,1.96,1.1,1.27,0.76,1.18
d_0,0.76,0.63,0.39,2.18,0.63,0.69,1.11,0.83,3.01,0.75,1.4,1.02,1.04,1.11,1.14,1.72
c_0,0.88,0.57,1.09,0.44,0.4,0.63,1.36,1.38,1.04,3.18,3.45,1.12,1.5,1.53,1.62,1.77
b_0,0.84,0.65,0.95,0.79,0.34,0.59,1.46,1.49,1.19,1.28,3.68,1.14,1.24,3.24,1.41,1.49
f_0,0.39,0.45,1.08,0.83,0.71,0.77,1.26,1.05,1.28,1.76,1.41,4.13,1.21,1.35,1.63,3.63
h_0,1.31,0.66,0.86,0.74,0.7,0.62,0.6,1.6,1.0,0.98,1.26,1.14,0.82,1.23,1.9,1.16
a_0,1.1,0.52,0.91,0.71,0.67,0.35,1.44,1.16,1.04,1.01,1.29,1.42,1.51,4.48,1.42,1.83
g_0,0.56,0.52,1.7,0.73,0.64,0.65,0.86,0.75,1.06,1.13,1.53,2.69,1.23,1.27,1.01,1.56
e_0,1.12,0.47,0.71,0.99,0.55,0.62,1.36,1.17,1.21,1.14,1.61,1.16,1.88,1.81,1.58,5.13
