,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.45,1.1,2.28,2.15,1.83,2.02,0.57,0.46,0.43,0.61,0.58,0.54,0.32,0.43,0.36,0.88
f_1,1.91,0.44,1.66,2.03,1.9,2.13,0.4,0.39,0.38,0.64,0.32,0.8,0.22,0.34,0.28,0.38
d_1,2.15,2.03,0.43,2.28,2.4,1.57,0.53,0.99,0.35,0.34,0.35,0.33,0.29,0.33,0.19,0.28
c_1,1.67,2.31,2.95,0.41,1.72,2.3,0.63,0.24,0.91,0.62,0.43,0.43,0.31,0.53,0.33,0.49
b_1,2.46,2.8,2.52,1.31,0.37,2.09,0.85,0.53,0.57,0.87,1.41,0.5,0.31,0.58,0.33,0.38
a_1,2.8,3.46,2.93,2.44,1.67,0.31,1.07,0.6,0.77,1.22,0.91,0.59,0.44,2.56,0.43,0.5
h_1,3.18,3.19,3.14,3.39,3.73,2.94,0.33,0.72,0.66,0.98,0.58,0.57,0.96,0.68,0.46,0.47
d_0,2.14,3.45,5.53,3.68,3.74,3.73,1.36,0.42,0.77,1.21,0.82,0.91,0.69,0.68,0.6,0.87
c_0,3.6,3.62,2.02,10.51,4.15,3.72,1.08,0.82,0.41,0.9,0.68,0.7,0.51,0.69,0.59,0.96
g_1,3.59,3.77,3.06,5.15,5.07,4.23,0.82,0.75,0.68,0.31,0.81,0.64,0.44,0.71,0.85,0.7
b_0,3.91,4.09,2.87,5.07,10.31,3.67,1.02,0.8,0.4,1.04,0.36,0.74,0.54,0.61,0.54,0.7
f_0,4.45,7.75,3.64,4.21,4.14,4.49,1.29,0.88,0.82,0.87,0.8,0.36,0.7,0.79,0.36,0.81
h_0,4.82,5.35,4.1,4.71,3.82,3.32,2.57,0.87,0.82,1.2,0.89,0.83,1.09,0.93,0.62,1.0
a_0,4.91,4.72,4.29,4.74,5.54,12.84,1.43,0.92,0.78,1.16,0.55,0.98,0.79,0.32,1.22,1.18
g_0,4.68,4.79,4.14,4.78,5.75,5.0,1.05,1.2,1.01,1.95,1.04,0.92,0.54,1.03,1.48,0.87
e_0,9.32,8.5,3.77,4.81,4.67,5.97,1.19,1.08,0.92,1.36,0.91,0.45,0.76,0.78,0.64,0.34
