,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.7,0.95,0.83,0.86,0.71,0.44,0.61,0.44,0.42,0.43,0.35,0.36,0.31,0.36,
f_1,1.43,1.0,1.0,0.84,0.99,1.05,0.48,0.46,0.45,0.49,,0.35,0.25,0.24,0.3,0.26
c_1,1.05,1.0,1.0,1.03,1.3,0.71,0.48,0.35,0.42,,0.42,0.41,0.43,0.32,0.43,0.28
d_1,1.2,1.19,0.97,1.0,0.93,0.72,0.51,,0.39,0.58,0.4,0.37,0.37,0.31,0.3,0.33
b_1,1.16,1.01,0.77,1.07,1.0,1.24,0.57,0.42,0.54,0.41,0.6,,0.46,,0.29,0.31
a_1,1.41,0.96,1.4,1.38,0.81,1.0,0.65,0.54,0.47,0.77,0.55,,0.5,,0.44,
h_1,2.29,2.07,2.07,1.96,1.75,1.55,1.0,0.9,1.02,0.81,0.7,0.69,,0.49,0.72,0.67
d_0,1.63,2.18,2.84,,2.38,1.84,1.11,1.0,0.96,0.88,0.89,0.84,0.71,0.7,0.74,0.64
g_1,2.26,2.22,2.37,2.57,1.84,2.12,0.98,1.04,1.0,0.9,0.96,0.97,0.62,,,
c_0,2.36,2.04,,1.72,2.41,1.3,1.24,1.14,1.11,1.0,1.04,1.43,0.82,0.74,0.73,0.53
f_0,2.32,,2.36,2.48,1.68,1.83,1.44,1.13,1.04,0.96,1.0,1.04,1.31,0.78,0.54,1.12
b_0,2.88,2.86,2.41,2.71,,,1.44,1.19,1.04,0.7,0.96,1.0,0.94,1.25,0.85,
h_0,2.76,3.98,2.3,2.73,2.19,1.98,,1.42,1.61,1.23,0.77,1.06,,0.88,1.19,0.79
a_0,3.2,4.15,3.16,3.28,,,2.02,1.42,,1.35,1.29,0.8,1.14,1.0,0.9,
g_0,2.81,3.33,2.33,3.33,3.5,2.27,1.39,1.36,,1.38,1.84,1.17,0.84,1.11,,1.16
e_0,,3.87,3.58,3.02,3.27,,1.49,1.56,,1.9,0.9,,1.26,,0.86,1.0
